model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
11,11_trigger,,201,7.429243882921007,0.08888888888888889,8,9000
global,combine,,201,6.4088799302842885,2.6333333333333333,237,9000
global,global_in_17_trigger,,201,6.800456325954861,1.6666666666666667,150,9000
global,global_in_33_trigger,,201,6.684504384358724,1.8333333333333333,165,9000
global,global_in_77_trigger,,201,6.487472400241428,2.1222222222222222,191,9000
global,global_in_11_trigger,,201,6.373239047580295,3.355555555555555,302,9000
global,combine,,202,6.195605994330512,3.088888888888889,278,9000
global,global_in_17_trigger,,202,6.580156368679471,1.9555555555555555,176,9000
global,global_in_33_trigger,,202,6.461560619778103,2.2888888888888888,206,9000
global,global_in_77_trigger,,202,6.266447994656033,2.555555555555556,230,9000
global,global_in_11_trigger,,202,6.145227444118923,3.8777777777777778,349,9000
17,17_trigger,,203,nan,0.0,0,9000
33,33_trigger,,203,13.21739069281684,0.06666666666666667,6,9000
global,combine,,203,0.36424106958177355,86.86666666666667,7818,9000
global,global_in_17_trigger,,203,0.31219390365812516,88.16666666666667,7935,9000
global,global_in_33_trigger,,203,0.5683777912987603,79.34444444444443,7141,9000
global,global_in_77_trigger,,203,1.750737402174208,24.3,2187,9000
global,global_in_11_trigger,,203,2.5539828754001195,2.2888888888888888,206,9000
77,77_trigger,,204,5.3731577826605905,2.1777777777777776,196,9000
global,combine,,204,0.8695343246459961,72.96666666666667,6567,9000
global,global_in_17_trigger,,204,0.619959585401747,79.5111111111111,7156,9000
global,global_in_33_trigger,,204,1.1581579085456,61.022222222222226,5492,9000
global,global_in_77_trigger,,204,2.3492728525797526,6.277777777777778,565,9000
global,global_in_11_trigger,,204,2.8991048016018337,0.6111111111111112,55,9000
33,33_trigger,,205,nan,0.0,0,9000
global,combine,,205,0.35838162575827703,88.97777777777777,8008,9000
global,global_in_17_trigger,,205,0.5453826196458604,84.06666666666666,7566,9000
global,global_in_33_trigger,,205,0.4743712681664361,86.21111111111112,7759,9000
global,global_in_77_trigger,,205,3.877088334825304,1.1333333333333333,102,9000
global,global_in_11_trigger,,205,3.2508033294677734,3.3666666666666663,303,9000
17,17_trigger,,206,7.126398546006945,0.0,0,9000
global,combine,,206,0.6312514885796441,81.83333333333334,7365,9000
global,global_in_17_trigger,,206,0.8172757625579834,77.07777777777778,6937,9000
global,global_in_33_trigger,,206,0.7453090341356066,79.27777777777779,7135,9000
global,global_in_77_trigger,,206,3.9908781178792316,0.16666666666666669,15,9000
global,global_in_11_trigger,,206,3.6044323154025606,0.4555555555555556,41,9000
77,77_trigger,,207,nan,0.0,0,9000
global,combine,,207,0.08820003992298411,97.24444444444444,8752,9000
global,global_in_17_trigger,,207,1.2708478118048774,63.044444444444444,5674,9000
global,global_in_33_trigger,,207,1.825237705654568,45.544444444444444,4099,9000
global,global_in_77_trigger,,207,0.15669432779484324,95.35555555555555,8582,9000
global,global_in_11_trigger,,207,0.19667760365539128,93.96666666666667,8457,9000
global,combine,,208,0.141395751060711,95.88888888888889,8630,9000
global,global_in_17_trigger,,208,1.7054005245632595,51.61111111111111,4645,9000
global,global_in_33_trigger,,208,2.330812086317274,31.866666666666667,2868,9000
global,global_in_77_trigger,,208,0.22715174336897,93.60000000000001,8424,9000
global,global_in_11_trigger,,208,0.33940447579489813,89.95555555555555,8096,9000
11,11_trigger,,209,nan,0.0,0,9000
global,combine,,209,0.22273907000488705,94.55555555555556,8510,9000
global,global_in_17_trigger,,209,4.077254755655924,1.588888888888889,143,9000
global,global_in_33_trigger,,209,3.999731904771593,3.2222222222222223,290,9000
global,global_in_77_trigger,,209,0.41097965065638226,90.47777777777777,8143,9000
global,global_in_11_trigger,,209,0.40347527450985377,90.4,8136,9000
global,combine,,210,0.28443745749526556,92.9,8361,9000
global,global_in_17_trigger,,210,3.9919488220214845,1.2555555555555555,113,9000
global,global_in_33_trigger,,210,3.933826466878255,2.411111111111111,217,9000
global,global_in_77_trigger,,210,0.5152082925372653,87.4888888888889,7874,9000
global,global_in_11_trigger,,210,0.5223439546161228,87.37777777777778,7864,9000
global,combine,,211,0.3730969795121087,90.72222222222223,8165,9000
global,global_in_17_trigger,,211,4.070257056342231,0.8555555555555556,77,9000
global,global_in_33_trigger,,211,4.033404922485351,1.7222222222222223,155,9000
global,global_in_77_trigger,,211,0.6868775480058458,82.62222222222222,7436,9000
global,global_in_11_trigger,,211,0.6908138302697076,82.83333333333334,7455,9000
77,77_trigger,,212,1.0579235089619954,73.41111111111111,6607,9000
global,combine,,212,0.45091120963626435,88.78888888888888,7991,9000
global,global_in_17_trigger,,212,4.071144148084852,0.8444444444444443,76,9000
global,global_in_33_trigger,,212,4.038077207777235,1.5555555555555556,140,9000
global,global_in_77_trigger,,212,0.8360345906151666,78.05555555555556,7025,9000
global,global_in_11_trigger,,212,0.8304288268619113,79.47777777777777,7153,9000
global,combine,,213,0.5383228041330973,86.38888888888889,7775,9000
global,global_in_17_trigger,,213,4.056451287163629,1.0333333333333332,93,9000
global,global_in_33_trigger,,213,4.0410752936469185,1.8222222222222224,164,9000
global,global_in_77_trigger,,213,0.9788908030192057,73.71111111111112,6634,9000
global,global_in_11_trigger,,213,0.9766342574225532,75.28888888888889,6776,9000
17,17_trigger,,214,4.93397164577908,1.3444444444444446,121,9000
global,combine,,214,0.5682398193147448,85.38888888888889,7685,9000
global,global_in_17_trigger,,214,3.9768551517062716,1.3333333333333335,120,9000
global,global_in_33_trigger,,214,3.966223066541884,2.1222222222222222,191,9000
global,global_in_77_trigger,,214,1.0284993858337403,71.83333333333334,6465,9000
global,global_in_11_trigger,,214,1.0158176803588868,73.71111111111112,6634,9000
global,combine,,215,0.619960367096795,83.95555555555556,7556,9000
global,global_in_17_trigger,,215,3.9424488711886934,1.6,144,9000
global,global_in_33_trigger,,215,3.9425475667317706,2.2111111111111112,199,9000
global,global_in_77_trigger,,215,1.1148735427856444,68.61111111111111,6175,9000
global,global_in_11_trigger,,215,1.1006426561143663,70.74444444444444,6367,9000
global,combine,,216,0.6357852297888862,83.5,7515,9000
global,global_in_17_trigger,,216,3.8643135274251303,2.1999999999999997,198,9000
global,global_in_33_trigger,,216,3.8718454962836373,3.0,270,9000
global,global_in_77_trigger,,216,1.125824764251709,68.4,6156,9000
global,global_in_11_trigger,,216,1.1180564795600043,70.24444444444444,6322,9000
global,combine,,217,0.6323470808664957,83.55555555555556,7520,9000
global,global_in_17_trigger,,217,3.7814754621717666,2.988888888888889,269,9000
global,global_in_33_trigger,,217,3.7932294362386068,3.933333333333333,354,9000
global,global_in_77_trigger,,217,1.1103646144866943,68.89999999999999,6201,9000
global,global_in_11_trigger,,217,1.1088383492363825,70.65555555555557,6359,9000
global,combine,,218,0.6277404442893134,83.55555555555556,7520,9000
global,global_in_17_trigger,,218,3.6922388729519313,4.211111111111111,379,9000
global,global_in_33_trigger,,218,3.710821795993381,5.011111111111111,451,9000
global,global_in_77_trigger,,218,1.1009085892571344,69.22222222222221,6230,9000
global,global_in_11_trigger,,218,1.1099717530144586,70.58888888888889,6353,9000
11,11_trigger,,219,0.664035162501865,85.3,7677,9000
global,combine,,219,0.6698676953845554,82.32222222222222,7409,9000
global,global_in_17_trigger,,219,3.7111092410617403,4.433333333333334,399,9000
global,global_in_33_trigger,,219,3.7417768436008028,5.055555555555555,455,9000
global,global_in_77_trigger,,219,1.165914355383979,67.44444444444444,6070,9000
global,global_in_11_trigger,,219,1.1824799190097386,68.71111111111111,6184,9000
global,combine,,220,0.7419202075534397,80.45555555555556,7241,9000
global,global_in_17_trigger,,220,3.752955239189996,5.0,450,9000
global,global_in_33_trigger,,220,3.787727376302083,5.555555555555555,500,9000
global,global_in_77_trigger,,220,1.2711398209465874,64.71111111111111,5824,9000
global,global_in_11_trigger,,220,1.2876687422858344,66.3,5967,9000
global,combine,,221,0.6948016662597656,81.62222222222222,7346,9000
global,global_in_17_trigger,,221,3.6319248436821834,6.111111111111111,550,9000
global,global_in_33_trigger,,221,3.67560104031033,6.4222222222222225,578,9000
global,global_in_77_trigger,,221,1.196465064154731,66.16666666666666,5955,9000
global,global_in_11_trigger,,221,1.21401125547621,67.63333333333334,6087,9000
global,combine,,222,0.675323637008667,81.87777777777778,7369,9000
global,global_in_17_trigger,,222,3.4187376963297527,9.3,837,9000
global,global_in_33_trigger,,222,3.4860695919460722,9.588888888888889,863,9000
global,global_in_77_trigger,,222,1.1395633875528972,67.74444444444444,6097,9000
global,global_in_11_trigger,,222,1.1875467633141412,68.18888888888888,6137,9000
17,17_trigger,,223,4.63628427971734,3.011111111111111,271,9000
11,11_trigger,,223,0.8206926208072238,81.26666666666667,7314,9000
global,combine,,223,0.6618817812601725,82.23333333333333,7401,9000
global,global_in_17_trigger,,223,3.430395982530382,8.78888888888889,791,9000
global,global_in_33_trigger,,223,3.498719211154514,8.955555555555556,806,9000
global,global_in_77_trigger,,223,1.134093612247043,67.52222222222221,6077,9000
global,global_in_11_trigger,,223,1.1706533699035644,68.15555555555555,6134,9000
17,17_trigger,,224,5.239888751559787,0.16666666666666669,15,9000
global,combine,,224,0.6471753292083741,82.47777777777779,7423,9000
global,global_in_17_trigger,,224,3.405935858832465,9.522222222222222,857,9000
global,global_in_33_trigger,,224,3.471251778496636,9.677777777777779,871,9000
global,global_in_77_trigger,,224,1.1172557737562392,67.81111111111112,6103,9000
global,global_in_11_trigger,,224,1.1506637751261393,68.66666666666667,6180,9000
global,combine,,225,0.6614299917221069,82.1,7389,9000
global,global_in_17_trigger,,225,3.3756326209174263,10.28888888888889,926,9000
global,global_in_33_trigger,,225,3.4428868459065756,10.488888888888889,944,9000
global,global_in_77_trigger,,225,1.128893073187934,67.68888888888888,6092,9000
global,global_in_11_trigger,,225,1.1653608898586698,68.33333333333333,6150,9000
global,combine,,226,0.6414269953833686,82.46666666666667,7422,9000
global,global_in_17_trigger,,226,3.31440970187717,12.044444444444444,1084,9000
global,global_in_33_trigger,,226,3.382071898566352,11.877777777777778,1069,9000
global,global_in_77_trigger,,226,1.100841089460585,68.46666666666667,6162,9000
global,global_in_11_trigger,,226,1.1344575542873807,69.25555555555556,6233,9000
global,combine,,227,0.6714094275368585,81.74444444444444,7357,9000
global,global_in_17_trigger,,227,3.3659503996107314,11.577777777777778,1042,9000
global,global_in_33_trigger,,227,3.442311262342665,11.355555555555556,1022,9000
global,global_in_77_trigger,,227,1.1424662687513563,67.33333333333333,6060,9000
global,global_in_11_trigger,,227,1.1846454679701064,67.96666666666667,6117,9000
global,combine,,228,0.6585509267383152,82.0,7380,9000
global,global_in_17_trigger,,228,3.3441334482828777,12.177777777777777,1096,9000
global,global_in_33_trigger,,228,3.4197151353624133,12.11111111111111,1090,9000
global,global_in_77_trigger,,228,1.1205035951402453,68.10000000000001,6129,9000
global,global_in_11_trigger,,228,1.1666330032348633,68.4888888888889,6164,9000
global,combine,,229,0.6812571555243598,81.54444444444444,7339,9000
global,global_in_17_trigger,,229,3.389156478881836,11.977777777777778,1078,9000
global,global_in_33_trigger,,229,3.463328931172689,12.022222222222222,1082,9000
global,global_in_77_trigger,,229,1.1580711869133844,67.26666666666667,6054,9000
global,global_in_11_trigger,,229,1.2036658596462673,67.73333333333333,6096,9000
11,11_trigger,,230,0.908359459982978,78.95555555555556,7106,9000
33,33_trigger,,230,5.405556533813477,2.011111111111111,181,9000
global,combine,,230,0.6561592462327746,82.27777777777779,7405,9000
global,global_in_17_trigger,,230,3.364686377631293,13.066666666666665,1176,9000
global,global_in_33_trigger,,230,3.445932135687934,12.655555555555557,1139,9000
global,global_in_77_trigger,,230,1.1246959258185492,68.26666666666667,6144,9000
global,global_in_11_trigger,,230,1.1730488662719727,68.7,6183,9000
global,combine,,231,0.6876226263046264,81.54444444444444,7339,9000
global,global_in_17_trigger,,231,3.41125444539388,12.455555555555556,1121,9000
global,global_in_33_trigger,,231,3.494502911037869,12.3,1107,9000
global,global_in_77_trigger,,231,1.1796510764227972,66.77777777777779,6010,9000
global,global_in_11_trigger,,231,1.2269595396253798,67.34444444444443,6061,9000
global,combine,,232,0.6576368449529012,82.13333333333334,7392,9000
global,global_in_17_trigger,,232,3.3260860578748916,14.08888888888889,1268,9000
global,global_in_33_trigger,,232,3.418593020968967,13.666666666666666,1230,9000
global,global_in_77_trigger,,232,1.1281232511732313,68.22222222222221,6140,9000
global,global_in_11_trigger,,232,1.1819767532348633,68.53333333333333,6168,9000
17,17_trigger,,233,4.995465277777778,1.211111111111111,109,9000
11,11_trigger,,233,0.9952402829064263,76.85555555555555,6917,9000
global,combine,,233,0.678088628768921,81.67777777777778,7351,9000
global,global_in_17_trigger,,233,3.3752541842990453,12.911111111111111,1162,9000
global,global_in_33_trigger,,233,3.473016808403863,12.677777777777777,1141,9000
global,global_in_77_trigger,,233,1.1631193042331271,67.0,6030,9000
global,global_in_11_trigger,,233,1.220017549302843,67.46666666666667,6072,9000
global,combine,,234,0.7071840182410346,81.03333333333333,7293,9000
global,global_in_17_trigger,,234,3.409681056552463,12.522222222222224,1127,9000
global,global_in_33_trigger,,234,3.508043919881185,12.411111111111111,1117,9000
global,global_in_77_trigger,,234,1.2094989475674098,65.92222222222223,5933,9000
global,global_in_11_trigger,,234,1.2747085609436035,66.06666666666666,5946,9000
global,combine,,235,0.7209548602634006,80.75555555555556,7268,9000
global,global_in_17_trigger,,235,3.3886302049424915,12.977777777777778,1168,9000
global,global_in_33_trigger,,235,3.4894400753445094,12.6,1134,9000
global,global_in_77_trigger,,235,1.2201228205362955,65.64444444444445,5908,9000
global,global_in_11_trigger,,235,1.289603716108534,65.76666666666667,5919,9000
global,combine,,236,0.6962833891974555,81.22222222222221,7310,9000
global,global_in_17_trigger,,236,3.3202136942545573,14.377777777777778,1294,9000
global,global_in_33_trigger,,236,3.4295449481540254,13.700000000000001,1233,9000
global,global_in_77_trigger,,236,1.187349745432536,66.44444444444444,5980,9000
global,global_in_11_trigger,,236,1.2575795453389487,66.60000000000001,5994,9000
77,77_trigger,,237,0.710490095562405,80.47777777777779,7243,9000
global,combine,,237,0.6990281586117215,81.37777777777778,7324,9000
global,global_in_17_trigger,,237,3.263448538886176,16.077777777777776,1447,9000
global,global_in_33_trigger,,237,3.3812037455240884,14.966666666666667,1347,9000
global,global_in_77_trigger,,237,1.1808909000820584,66.82222222222222,6014,9000
