local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,401,201,1,0.008823832497000694,82.89655172413794,601,725
37,402,201,2,0.016743941232562065,72.82758620689656,528,725
53,401,201,1,0.004821722861379385,90.08,563,625
53,402,201,2,0.0037277594674378633,92.32000000000001,577,625
39,401,201,1,0.008146608248353004,83.87096774193549,182,217
39,402,201,2,0.0007554824696853757,99.07834101382488,215,217
11,401,201,1,0.0035631342325359583,93.04029304029304,508,546
11,402,201,2,0.002356782089918852,94.87179487179486,518,546
57,401,201,1,0.006376320496201515,86.55172413793103,251,290
57,402,201,2,0.0011542156571522355,98.27586206896551,285,290
63,401,201,1,0.0030208094976842403,93.61702127659575,704,752
63,402,201,2,0.0028415287379175425,94.54787234042553,711,752
48,401,201,1,0.006288936361670494,86.5079365079365,327,378
48,402,201,2,0.0024004026781767607,94.70899470899471,358,378
50,401,201,1,0.0027314613107591867,95.76059850374065,384,401
50,402,201,2,0.0022045790683478117,97.50623441396509,391,401
72,401,201,1,0.00815205555409193,85.27508090614887,527,618
72,402,201,2,0.008256888948380947,87.37864077669903,540,618
88,401,201,1,0.008561347611248493,83.22147651006712,372,447
88,402,201,2,0.005026903934776783,89.48545861297539,400,447
71,403,202,1,0.005105806980282068,90.39451114922812,1054,1166
71,404,202,2,0.010226570069789886,79.073756432247,922,1166
92,403,202,1,0.007383225951343775,87.06030150753769,693,796
92,404,202,2,0.007708021439611912,85.17587939698493,678,796
23,403,202,1,0.004898314829915762,88.70967741935483,220,248
23,404,202,2,0.0011679449817165732,98.38709677419355,244,248
26,403,202,1,0.005209730006754398,91.02564102564102,426,468
26,404,202,2,0.006330819334834814,88.46153846153845,414,468
50,403,202,1,0.002010471187531948,97.0074812967581,389,401
50,404,202,2,0.0008478945237584412,98.75311720698254,396,401
14,403,202,1,0.008331350982189178,83.01886792452831,264,318
14,404,202,2,0.0023008452262729406,95.28301886792453,303,318
76,403,202,1,0.0437726266682148,90.76923076923077,59,65
76,404,202,2,0.002600522944703698,100.0,65,65
49,403,202,1,0.0038381838239729404,92.95774647887323,396,426
49,404,202,2,0.0015621476341038942,96.94835680751174,413,426
86,403,202,1,0.005635849665850401,91.0377358490566,193,212
86,404,202,2,0.0020200577564537525,98.58490566037736,209,212
58,403,202,1,0.009454356506466866,84.61538461538461,198,234
58,404,202,2,0.0005829655565321445,99.57264957264957,233,234
17,1213,203,1,0.017242873087525368,84.4106463878327,444,526
17,1214,203,2,0.016719942912459373,79.84790874524715,420,526
17,1215,203,3,0.008584431372582912,86.31178707224335,454,526
17,1216,203,4,0.005254189018160105,94.86692015209125,499,526
17,1217,203,5,0.005194780416786671,95.43726235741445,502,526
17,1218,203,6,0.002142401412129402,97.52851711026615,513,526
6,405,203,1,0.0029576937668025494,93.65384615384616,487,520
6,406,203,2,0.003272846108302474,94.23076923076923,490,520
94,405,203,1,0.007546807639300823,83.2512315270936,169,203
94,406,203,2,0.004603619687259197,94.58128078817734,192,203
61,405,203,1,0.00401271739974618,93.55932203389831,552,590
61,406,203,2,0.0052614351734519005,88.98305084745762,525,590
33,405,203,1,0.004880713298916817,91.08159392789373,480,527
33,406,203,2,0.004461969714611769,91.65085388994308,483,527
71,405,203,1,0.0038528458680957556,92.62435677530017,1080,1166
71,406,203,2,0.007387896068394184,84.90566037735849,990,1166
8,405,203,1,0.0037046100478619337,94.3820224719101,504,534
8,406,203,2,0.004145574755966663,93.63295880149812,500,534
69,405,203,1,0.00729987071827054,85.64814814814815,185,216
69,406,203,2,0.0005341966170817614,99.53703703703704,215,216
89,405,203,1,0.007677753921598196,85.4721549636804,353,413
89,406,203,2,0.002977532334625721,94.91525423728814,392,413
64,405,203,1,0.00454610725864768,89.50437317784257,614,686
64,406,203,2,0.005786682944744825,89.94169096209913,617,686
38,407,204,1,0.016723791137337685,69.57671957671958,526,756
38,408,204,2,0.0050202892161905766,90.60846560846561,685,756
77,407,204,1,0.0216127410531044,59.87903225806451,297,496
77,408,204,2,0.008248617872595787,84.4758064516129,419,496
64,407,204,1,0.020182831212878227,62.09912536443149,426,686
64,408,204,2,0.007113917730748653,85.71428571428571,588,686
29,407,204,1,0.017986955121159554,72.75943396226415,617,848
29,408,204,2,0.008513100445270538,83.72641509433963,710,848
23,407,204,1,0.035538073629140854,39.11290322580645,97,248
23,408,204,2,0.0067870779894292355,85.88709677419355,213,248
83,407,204,1,0.022030415013432503,57.650273224043715,211,366
83,408,204,2,0.006509131286293268,86.88524590163934,318,366
43,407,204,1,0.023703938350081444,60.0,207,345
43,408,204,2,0.0067658815532922745,85.5072463768116,295,345
56,407,204,1,0.016218042001128197,67.96769851951548,505,743
56,408,204,2,0.006280042231082916,87.48317631224765,650,743
45,407,204,1,0.027796439826488495,57.27788279773157,303,529
45,408,204,2,0.009842918254435062,82.23062381852552,435,529
1,407,204,1,0.023013362661004066,61.46645865834633,394,641
1,408,204,2,0.012647966854274273,78.003120124805,500,641
33,1225,205,1,0.017659591510891914,69.44971537001898,366,527
33,1226,205,2,0.005919402930885553,89.18406072106262,470,527
33,1227,205,3,0.003259137738496065,95.2561669829222,502,527
33,1228,205,4,0.0019873976707458496,97.53320683111954,514,527
33,1229,205,5,0.002429855987429619,97.34345351043643,513,527
33,1230,205,6,0.0022745938040316105,97.15370018975332,512,527
50,409,205,1,0.012505345977842808,74.3142144638404,298,401
50,410,205,2,0.004113346338272095,91.52119700748129,367,401
16,409,205,1,0.01971983164548874,67.91720569210867,525,773
16,410,205,2,0.017626861110329628,65.20051746442432,504,773
12,409,205,1,0.014033128507435322,73.59263050153531,719,977
12,410,205,2,0.006100312806665897,87.30808597748208,853,977
44,409,205,1,0.02013043314218521,63.53211009174312,277,436
44,410,205,2,0.007393170148134232,85.3211009174312,372,436
86,409,205,1,0.025944244116544724,52.358490566037744,111,212
86,410,205,2,0.004792933352291584,95.75471698113208,203,212
20,409,205,1,0.019225148484110832,64.9171270718232,235,362
20,410,205,2,0.004386443179100752,90.33149171270718,327,362
49,409,205,1,0.015517888590693474,73.00469483568075,311,426
49,410,205,2,0.00376128195784986,92.95774647887323,396,426
43,409,205,1,0.02101166360080242,66.66666666666666,230,345
43,410,205,2,0.005653373431414366,88.40579710144928,305,345
28,409,205,1,0.019151626154780388,64.30260047281324,272,423
28,410,205,2,0.004686653148382902,91.96217494089835,389,423
51,411,206,1,0.025914611294865608,60.75156576200418,291,479
51,412,206,2,0.008620461449027061,82.6722338204593,396,479
4,411,206,1,0.018059954047203064,68.40215439856372,381,557
4,412,206,2,0.006058025173842907,88.68940754039497,494,557
97,411,206,1,0.024463308975100517,62.20095693779905,260,418
97,412,206,2,0.007178650237619877,86.8421052631579,363,418
85,411,206,1,0.02840161696076393,51.64835164835166,188,364
85,412,206,2,0.007884345948696136,84.06593406593407,306,364
17,411,206,1,0.015322549268603325,75.66539923954373,398,526
17,412,206,2,0.004519512411206961,90.30418250950571,475,526
59,411,206,1,0.022383347153663635,64.17445482866043,412,642
59,412,206,2,0.018506886437535286,66.97819314641744,430,642
13,411,206,1,0.02762840874493122,57.58064516129032,357,620
13,412,206,2,0.006458665244281292,86.93548387096774,539,620
57,411,206,1,0.027310291305184364,56.896551724137936,165,290
57,412,206,2,0.00883359182626009,82.75862068965517,240,290
76,411,206,1,0.1093890517950058,36.92307692307693,24,65
76,412,206,2,0.06467705965042114,58.46153846153847,38,65
80,411,206,1,0.031890884041786194,53.168044077134994,193,363
80,412,206,2,0.006754428148269653,88.98071625344353,323,363
77,1237,207,1,0.019991375505924225,61.49193548387096,305,496
77,1238,207,2,0.007602364290505648,85.08064516129032,422,496
77,1239,207,3,0.00356275518424809,94.35483870967742,468,496
77,1240,207,4,0.0016741729341447353,98.79032258064517,490,496
77,1241,207,5,0.0011087615275755525,97.98387096774194,486,496
77,1242,207,6,0.0005238099256530404,100.0,496,496
85,413,207,1,0.023975970223546028,53.57142857142857,195,364
85,414,207,2,0.007082059048116207,85.43956043956044,311,364
90,413,207,1,0.0202409029006958,71.79930795847751,415,578
90,414,207,2,0.017652379348874092,71.97231833910035,416,578
24,413,207,1,0.017358088865876198,70.3125,225,320
24,414,207,2,0.0033663890790194273,93.75,300,320
63,413,207,1,0.019327832385897636,63.56382978723404,478,752
63,414,207,2,0.008861190639436245,83.6436170212766,629,752
1,413,207,1,0.018635431304574013,69.57878315132605,446,641
1,414,207,2,0.013974221423268318,81.1232449297972,520,641
52,413,207,1,0.035902239382267,47.19626168224299,101,214
52,414,207,2,0.0036988237407058477,94.39252336448598,202,214
31,413,207,1,0.02024899795651436,64.44759206798867,455,706
31,414,207,2,0.014246184378862381,71.52974504249292,505,706
59,413,207,1,0.02097133919596672,68.38006230529595,439,642
59,414,207,2,0.011394613422453403,78.81619937694704,506,642
67,413,207,1,0.01490914449095726,71.85273159144893,605,842
67,414,207,2,0.011314657516777515,77.43467933491686,652,842
71,415,208,1,0.013723807409405708,75.72898799313894,883,1166
71,416,208,2,0.005614900030195713,89.45111492281303,1043,1166
66,415,208,1,0.014448621310293674,73.15315315315316,406,555
66,416,208,2,0.0044904183596372604,93.51351351351352,519,555
76,415,208,1,0.09480291604995728,58.46153846153847,38,65
76,416,208,2,0.013394755311310291,96.92307692307692,63,65
96,415,208,1,0.017073141410946846,65.81920903954803,466,708
96,416,208,2,0.01590665429830551,77.82485875706215,551,708
80,415,208,1,0.014063656330108643,72.72727272727273,264,363
80,416,208,2,0.0065503548830747604,88.98071625344353,323,363
81,415,208,1,0.011582140810787678,78.04642166344294,807,1034
81,416,208,2,0.005756482947617769,88.49129593810446,915,1034
22,415,208,1,0.01958424784243107,65.18218623481782,322,494
22,416,208,2,0.005602529738098383,88.66396761133603,438,494
72,415,208,1,0.02185913175344467,62.62135922330098,387,618
72,416,208,2,0.005935376975685358,87.54045307443366,541,618
64,415,208,1,0.012916918843984604,74.05247813411079,508,686
64,416,208,2,0.004283890128135681,92.12827988338192,632,686
45,415,208,1,0.01682952418923378,68.99810964083176,365,529
45,416,208,2,0.007158403750509024,87.52362948960302,463,529
11,1249,209,1,0.015839824452996254,69.96336996336996,382,546
11,1250,209,2,0.003340913215652108,95.42124542124543,521,546
11,1251,209,3,0.0016967715928331017,97.98534798534799,535,546
11,1252,209,4,0.0010549152502790093,98.9010989010989,540,546
11,1253,209,5,0.0008677499135956168,99.45054945054946,543,546
11,1254,209,6,0.0006077238940633833,99.45054945054946,543,546
80,417,209,1,0.011411926709115505,78.51239669421489,285,363
80,418,209,2,0.0035748439840972424,92.56198347107438,336,363
54,417,209,1,0.013457922264933586,73.86363636363636,325,440
54,418,209,2,0.004254854284226894,90.68181818181819,399,440
44,417,209,1,0.016250960528850555,68.80733944954129,300,436
44,418,209,2,0.005317614413797855,90.59633027522935,395,436
35,417,209,1,0.014519966207444668,74.7016706443914,313,419
35,418,209,2,0.0042005302384495735,91.8854415274463,385,419
68,417,209,1,0.015998952090740204,68.02884615384616,283,416
68,418,209,2,0.003010641550645232,95.4326923076923,397,416
25,417,209,1,0.010875791311264038,80.18348623853211,437,545
25,418,209,2,0.003736735787242651,93.94495412844037,512,545
4,417,209,1,0.01623515598475933,69.83842010771993,389,557
4,418,209,2,0.003972630016505718,91.74147217235189,511,557
79,417,209,1,0.0206648800522089,62.33766233766234,96,154
79,418,209,2,0.0024968888610601425,96.1038961038961,148,154
43,417,209,1,0.013682541437447071,71.30434782608695,246,345
43,418,209,2,0.00256641348823905,96.23188405797102,332,345
63,419,210,1,0.014556671492755413,73.67021276595744,554,752
63,420,210,2,0.006920399144291878,86.56914893617021,651,752
35,419,210,1,0.027297474443912506,57.279236276849645,240,419
35,420,210,2,0.005313923116773367,89.26014319809069,374,419
49,419,210,1,0.01984403468668461,66.19718309859155,282,426
49,420,210,2,0.004344835411757231,91.31455399061032,389,426
8,419,210,1,0.02030055783689022,65.3558052434457,349,534
8,420,210,2,0.005972692742943764,90.0749063670412,481,534
12,419,210,1,0.014971989206969738,72.36438075742068,707,977
12,420,210,2,0.006823020987212658,86.48925281473899,845,977
18,419,210,1,0.01670083776116371,69.43005181347151,268,386
18,420,210,2,0.009673804976046085,91.45077720207254,353,386
94,419,210,1,0.03964172303676605,47.783251231527096,97,203
94,420,210,2,0.010162430815398693,91.62561576354679,186,203
57,419,210,1,0.02357560396194458,60.0,174,290
57,420,210,2,0.004526976961642504,89.65517241379311,260,290
83,419,210,1,0.018612859770655632,63.387978142076506,232,366
83,420,210,2,0.0046686395071446896,89.07103825136612,326,366
37,419,210,1,0.01960565336048603,65.37931034482759,474,725
37,420,210,2,0.00908592902123928,82.62068965517241,599,725
22,421,211,1,0.01605304330587387,69.4331983805668,343,494
22,422,211,2,0.005366175435483456,88.8663967611336,439,494
38,421,211,1,0.012004699558019638,77.5132275132275,586,756
38,422,211,2,0.005158649757504463,89.94708994708994,680,756
65,421,211,1,0.021578432992100716,64.3312101910828,202,314
65,422,211,2,0.0036514182575047016,93.94904458598727,295,314
29,421,211,1,0.015240192413330078,73.82075471698113,626,848
29,422,211,2,0.006459723226726055,86.55660377358491,734,848
18,421,211,1,0.013817848637700081,72.02072538860104,278,386
18,422,211,2,0.008789368905127048,89.89637305699482,347,386
53,421,211,1,0.015205919742584229,71.52,447,625
53,422,211,2,0.0052118017338216305,88.96,556,625
15,421,211,1,0.020747024565935135,64.22287390029325,219,341
15,422,211,2,0.005352634936571121,90.02932551319648,307,341
7,421,211,1,0.016595259308815002,68.4659090909091,241,352
7,422,211,2,0.004817346576601267,91.47727272727273,322,352
86,421,211,1,0.015033586882054806,73.11320754716981,155,212
86,422,211,2,0.0035525746643543243,92.45283018867924,196,212
60,421,211,1,0.01805487461388111,67.95774647887323,193,284
60,422,211,2,0.0038941127713769674,92.6056338028169,263,284
81,423,212,1,0.011410174891352654,77.75628626692456,804,1034
81,424,212,2,0.006457175128161907,87.4274661508704,904,1034
8,423,212,1,0.01480625756084919,71.34831460674157,381,534
8,424,212,2,0.005125876050442457,90.63670411985018,484,534
28,423,212,1,0.011829333379864693,76.12293144208037,322,423
28,424,212,2,0.0037891967222094536,92.43498817966903,391,423
77,423,212,1,0.0033919760026037693,93.54838709677419,464,496
77,424,212,2,0.0007839985773898661,99.19354838709677,492,496
1,423,212,1,0.015638306736946106,75.35101404056162,483,641
1,424,212,2,0.012648436240851879,84.55538221528862,542,641
93,423,212,1,0.013688928447663784,74.65753424657534,436,584
93,424,212,2,0.00663783261552453,86.47260273972603,505,584
53,423,212,1,0.013407285325229168,74.88,468,625
53,424,212,2,0.004258792847394943,91.36,571,625
12,423,212,1,0.012312263250350952,75.9467758444217,742,977
12,424,212,2,0.006127690896391869,88.43398157625384,864,977
50,423,212,1,0.013522571884095669,76.30922693266832,306,401
50,424,212,2,0.003880706150084734,93.51620947630923,375,401
10,423,212,1,0.010615797713398933,82.31382978723404,619,752
10,424,212,2,0.0043396414257586,90.02659574468085,677,752
18,425,213,1,0.011781902052462101,75.38860103626943,291,386
18,426,213,2,0.0040110573172569275,94.81865284974094,366,386
39,425,213,1,0.020982570946216583,68.66359447004609,149,217
39,426,213,2,0.0020417659543454647,97.6958525345622,212,217
62,425,213,1,0.014264804311096668,71.22905027932961,255,358
62,426,213,2,0.0031133892480283976,94.1340782122905,337,358
65,425,213,1,0.01673486828804016,68.47133757961782,215,314
65,426,213,2,0.0023154260125011206,95.85987261146497,301,314
87,425,213,1,0.016647621989250183,66.75062972292191,265,397
87,426,213,2,0.007566563319414854,82.87153652392946,329,397
12,425,213,1,0.011891502887010574,76.97031729785057,752,977
12,426,213,2,0.006225652061402798,87.2057318321392,852,977
74,425,213,1,0.015015634708106518,75.26652452025586,353,469
74,426,213,2,0.005387232638895512,90.6183368869936,425,469
4,425,213,1,0.011163996532559395,78.09694793536805,435,557
4,426,213,2,0.0031044301576912403,92.99820466786356,518,557
7,425,213,1,0.013874566182494164,73.01136363636364,257,352
7,426,213,2,0.0030940186697989702,94.60227272727273,333,352
35,425,213,1,0.01770954765379429,72.0763723150358,302,419
35,426,213,2,0.005394910927861929,89.49880668257757,375,419
17,427,214,1,0.0039213611744344234,93.72623574144487,493,526
17,428,214,2,0.001026156940497458,99.04942965779468,521,526
30,427,214,1,0.017963066697120667,65.28189910979229,220,337
30,428,214,2,0.004394559655338526,93.76854599406528,316,337
72,427,214,1,0.012961720116436481,74.4336569579288,460,618
72,428,214,2,0.0050237467512488365,88.67313915857605,548,618
51,427,214,1,0.011848569847643375,75.5741127348643,362,479
51,428,214,2,0.005252251401543617,88.51774530271399,424,479
63,427,214,1,0.009980473667383194,79.25531914893617,596,752
63,428,214,2,0.004102357197552919,92.02127659574468,692,752
46,427,214,1,0.009630037471652031,79.36772046589017,477,601
46,428,214,2,0.0030365651473402977,95.00831946755409,571,601
54,427,214,1,0.00989233423024416,78.86363636363637,347,440
54,428,214,2,0.0024718677159398794,95.22727272727273,419,440
95,427,214,1,0.015544319525361061,72.58347978910369,413,569
95,428,214,2,0.003818341065198183,90.86115992970123,517,569
26,427,214,1,0.016053013503551483,71.15384615384616,333,468
26,428,214,2,0.004503183998167515,90.38461538461539,423,468
2,427,214,1,0.016292879357933998,73.10195227765726,337,461
2,428,214,2,0.006590378470718861,85.90021691973969,396,461
95,429,215,1,0.015254227444529533,71.00175746924428,404,569
95,430,215,2,0.0032680900767445564,92.61862917398945,527,569
82,429,215,1,0.008060012012720108,84.02662229617304,505,601
82,430,215,2,0.002267976524308324,95.84026622296173,576,601
45,429,215,1,0.014528675936162472,74.29111531190927,393,529
45,430,215,2,0.005027708597481251,89.98109640831758,476,529
0,429,215,1,0.013997673988342285,68.66485013623979,252,367
0,430,215,2,0.0025273547507822514,95.64032697547684,351,367
34,429,215,1,0.014733421616256237,71.34670487106017,249,349
34,430,215,2,0.0038116062059998512,93.98280802292264,328,349
62,429,215,1,0.010088777169585228,77.37430167597765,277,358
62,430,215,2,0.002981910714879632,94.97206703910615,340,358
66,429,215,1,0.009376995265483856,82.70270270270271,459,555
66,430,215,2,0.002225706120952964,95.85585585585585,532,555
10,429,215,1,0.008024526759982109,85.50531914893617,643,752
10,430,215,2,0.004194262903183699,93.4840425531915,703,752
12,429,215,1,0.01005835086107254,79.83623336745138,780,977
12,430,215,2,0.004524422809481621,91.19754350051177,891,977
38,429,215,1,0.008520618081092834,82.8042328042328,626,756
38,430,215,2,0.002634424716234207,94.70899470899471,716,756
41,431,216,1,0.015222149901092052,71.34502923976608,366,513
41,432,216,2,0.014125383459031582,89.66861598440545,460,513
4,431,216,1,0.009946937672793865,80.78994614003591,450,557
4,432,216,2,0.0022355231922119856,95.33213644524237,531,557
68,431,216,1,0.009974434040486813,79.08653846153845,329,416
68,432,216,2,0.0036498326808214188,93.99038461538461,391,416
55,431,216,1,0.011572177521884441,80.2675585284281,240,299
55,432,216,2,0.0021775036584585905,96.32107023411372,288,299
30,431,216,1,0.013586989603936672,69.73293768545994,235,337
30,432,216,2,0.0031604766845703125,92.87833827893175,313,337
39,431,216,1,0.018362803384661674,65.43778801843318,142,217
39,432,216,2,0.0017076488584280014,98.15668202764977,213,217
10,431,216,1,0.007099204696714878,87.36702127659575,657,752
10,432,216,2,0.002501304494217038,95.34574468085107,717,752
64,431,216,1,0.011876791715621948,75.51020408163265,518,686
64,432,216,2,0.0037156385369598866,93.00291545189503,638,686
23,431,216,1,0.014921693131327629,66.93548387096774,166,248
23,432,216,2,0.00220408639870584,95.96774193548387,238,248
60,431,216,1,0.013961431570351124,75.70422535211267,215,284
60,432,216,2,0.002109586726874113,97.1830985915493,276,284
23,433,217,1,0.0137912817299366,71.37096774193549,177,248
23,434,217,2,0.0018286241684108973,97.58064516129032,242,248
34,433,217,1,0.012455717660486698,72.77936962750717,254,349
34,434,217,2,0.0025835041888058186,95.41547277936962,333,349
52,433,217,1,0.01656067743897438,71.49532710280374,153,214
52,434,217,2,0.0022186515852808952,95.7943925233645,205,214
92,433,217,1,0.012147841975092888,77.1356783919598,614,796
92,434,217,2,0.0055623906664550304,89.82412060301507,715,796
57,433,217,1,0.01267534401267767,76.20689655172413,221,290
57,434,217,2,0.0036799865774810314,96.89655172413794,281,290
