model,epoch,average_loss,accuracy,correct_data,total_data
17,201,0.15492402829064264,94.28888888888889,8486,9000
17,201,nan,0.0,0,9000
33,201,0.27912146650420294,90.58888888888889,8153,9000
33,201,nan,0.0,0,9000
77,201,0.1862979558960845,95.39999999999999,8586,9000
77,201,nan,0.0,0,9000
11,201,0.1989860601839092,94.92222222222222,8543,9000
11,201,nan,0.0,0,9000
global,201,nan,0.0,0,9000
17,202,0.3066404030587938,88.97777777777777,8008,9000
17,202,nan,0.0,0,9000
33,202,0.5573762554592556,82.19999999999999,7398,9000
33,202,nan,0.0,0,9000
77,202,0.9278379944695366,66.53333333333333,5988,9000
77,202,nan,0.0,0,9000
11,202,0.6127366170883178,85.24444444444444,7672,9000
11,202,nan,0.0,0,9000
global,202,nan,0.0,0,9000
17,203,0.3041957803302341,88.36666666666667,7953,9000
17,203,nan,0.0,0,9000
33,203,0.5176691788567437,82.92222222222222,7463,9000
33,203,nan,0.0,0,9000
77,203,0.17509103057119582,95.0,8550,9000
77,203,nan,0.0,0,9000
11,203,0.37053413528866236,89.27777777777777,8035,9000
11,203,nan,0.0,0,9000
global,203,nan,0.0,0,9000
17,204,1.5001516808403863,48.46666666666667,4362,9000
17,204,nan,0.0,0,9000
33,204,0.7054395404391819,78.14444444444445,7033,9000
33,204,nan,0.0,0,9000
77,204,0.10297203726238674,96.21111111111111,8659,9000
77,204,nan,0.0,0,9000
11,204,0.023320269531052974,99.41111111111111,8947,9000
11,204,nan,0.0,0,9000
global,204,nan,0.0,0,9000
17,205,0.24839805997742548,90.88888888888889,8180,9000
17,205,nan,0.0,0,9000
33,205,2.162653973897298,0.0,0,9000
33,205,nan,0.0,0,9000
77,205,1.6778562198215061,0.7333333333333333,66,9000
77,205,nan,0.0,0,9000
11,205,0.5080155374076631,92.36666666666666,8313,9000
11,205,nan,0.0,0,9000
global,205,nan,0.0,0,9000
17,206,nan,0.0,0,9000
17,206,nan,0.0,0,9000
33,206,nan,0.0,0,9000
33,206,nan,0.0,0,9000
77,206,nan,0.0,0,9000
77,206,nan,0.0,0,9000
11,206,0.3178242918782764,92.75555555555556,8348,9000
11,206,nan,0.0,0,9000
global,206,nan,0.0,0,9000
17,207,nan,0.0,0,9000
17,207,nan,0.0,0,9000
33,207,nan,0.0,0,9000
33,207,nan,0.0,0,9000
77,207,nan,0.0,0,9000
77,207,nan,0.0,0,9000
11,207,nan,0.0,0,9000
11,207,nan,0.0,0,9000
global,207,nan,0.0,0,9000
17,208,nan,0.0,0,9000
17,208,nan,0.0,0,9000
33,208,nan,0.0,0,9000
33,208,nan,0.0,0,9000
77,208,nan,0.0,0,9000
77,208,nan,0.0,0,9000
11,208,nan,0.0,0,9000
11,208,nan,0.0,0,9000
global,208,nan,0.0,0,9000
17,209,nan,0.0,0,9000
17,209,nan,0.0,0,9000
33,209,nan,0.0,0,9000
33,209,nan,0.0,0,9000
77,209,nan,0.0,0,9000
77,209,nan,0.0,0,9000
11,209,nan,0.0,0,9000
11,209,nan,0.0,0,9000
global,209,nan,0.0,0,9000
17,210,nan,0.0,0,9000
17,210,nan,0.0,0,9000
33,210,nan,0.0,0,9000
33,210,nan,0.0,0,9000
77,210,nan,0.0,0,9000
77,210,nan,0.0,0,9000
11,210,nan,0.0,0,9000
11,210,nan,0.0,0,9000
global,210,nan,0.0,0,9000
17,211,nan,0.0,0,9000
17,211,nan,0.0,0,9000
33,211,nan,0.0,0,9000
33,211,nan,0.0,0,9000
77,211,nan,0.0,0,9000
77,211,nan,0.0,0,9000
11,211,nan,0.0,0,9000
11,211,nan,0.0,0,9000
global,211,nan,0.0,0,9000
17,212,nan,0.0,0,9000
17,212,nan,0.0,0,9000
33,212,nan,0.0,0,9000
33,212,nan,0.0,0,9000
77,212,nan,0.0,0,9000
77,212,nan,0.0,0,9000
11,212,nan,0.0,0,9000
11,212,nan,0.0,0,9000
global,212,nan,0.0,0,9000
