local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
17,1201,201,1,0.015900718048214912,84.9809885931559,447,526
17,1202,201,2,0.01775711588561535,76.80608365019012,404,526
17,1203,201,3,0.010840886272490025,82.50950570342205,434,526
17,1204,201,4,0.006734125316143036,90.8745247148289,478,526
17,1205,201,5,0.004110865760594606,94.67680608365019,498,526
17,1206,201,6,0.0023803783114999533,97.33840304182509,512,526
33,1201,201,1,0.015906043350696564,82.16318785578748,433,527
33,1202,201,2,0.01651795208454132,81.40417457305503,429,527
33,1203,201,3,0.009798186831176281,86.14800759013282,454,527
33,1204,201,4,0.00586882745847106,92.40986717267552,487,527
33,1205,201,5,0.004056824836879969,96.01518026565465,506,527
33,1206,201,6,0.003521022154018283,96.7741935483871,510,527
77,1201,201,1,0.009837720543146133,86.29032258064517,428,496
77,1202,201,2,0.0062137930653989315,92.13709677419355,457,496
77,1203,201,3,0.0035486549604684114,95.76612903225806,475,496
77,1204,201,4,0.0019663190469145775,97.37903225806451,483,496
77,1205,201,5,0.001193845528177917,98.58870967741935,489,496
77,1206,201,6,0.00081208924530074,99.19354838709677,492,496
11,1201,201,1,0.007644152268767357,88.82783882783882,485,546
11,1202,201,2,0.006098626647144556,91.20879120879121,498,546
11,1203,201,3,0.0027450378984212875,95.23809523809523,520,546
11,1204,201,4,0.0019010711694136262,98.53479853479854,538,546
11,1205,201,5,0.0010405359789729118,99.26739926739927,542,546
11,1206,201,6,0.000912411545868963,98.9010989010989,540,546
37,401,201,1,0.011193613521754742,80.41379310344827,583,725
37,402,201,2,0.01796499826014042,70.20689655172414,509,725
53,401,201,1,0.004897181876003742,89.28,558,625
53,402,201,2,0.004148998763412237,91.36,571,625
39,401,201,1,0.007361272349953651,85.71428571428571,186,217
39,402,201,2,0.0012117810547351837,99.07834101382488,215,217
57,401,201,1,0.007393294479697943,84.48275862068965,245,290
57,402,201,2,0.001913207583129406,96.55172413793103,280,290
63,401,201,1,0.003168742638081312,93.61702127659575,704,752
63,402,201,2,0.002883913926780224,94.28191489361703,709,752
48,401,201,1,0.00588045222684741,87.83068783068782,332,378
48,402,201,2,0.001919520553201437,96.03174603174604,363,378
17,1207,202,1,0.038275185972452164,41.06463878326996,216,526
17,1208,202,2,0.015744857490062714,70.15209125475285,369,526
17,1209,202,3,0.011789854615926743,80.98859315589354,426,526
17,1210,202,4,0.006315416656434536,91.82509505703422,483,526
17,1211,202,5,0.003854901995509863,95.81749049429658,504,526
17,1212,202,6,0.0026417989283800125,97.14828897338404,511,526
33,1207,202,1,0.03448464721441269,42.314990512333964,223,527
33,1208,202,2,0.015195325016975403,70.20872865275142,370,527
33,1209,202,3,0.008816352114081383,83.68121442125236,441,527
33,1210,202,4,0.005662713199853897,93.35863377609108,492,527
33,1211,202,5,0.005156451836228371,94.30740037950665,497,527
33,1212,202,6,0.0029942470137029886,96.20493358633776,507,527
77,1207,202,1,0.03580126911401749,37.29838709677419,185,496
77,1208,202,2,0.021210862323641777,55.24193548387096,274,496
77,1209,202,3,0.014595657587051392,70.96774193548387,352,496
77,1210,202,4,0.009321850724518299,81.65322580645162,405,496
77,1211,202,5,0.005107624921947718,93.54838709677419,464,496
77,1212,202,6,0.003009919309988618,96.16935483870968,477,496
11,1207,202,1,0.04063386097550392,27.655677655677657,151,546
11,1208,202,2,0.022979993373155594,53.84615384615385,294,546
11,1209,202,3,0.016806334257125854,66.84981684981685,365,546
11,1210,202,4,0.010975208133459091,80.58608058608058,440,546
11,1211,202,5,0.005972637329250574,90.29304029304029,493,546
11,1212,202,6,0.0030168185476213694,95.7875457875458,523,546
63,403,202,1,0.04547750577330589,29.78723404255319,224,752
63,404,202,2,0.02330315113067627,51.72872340425532,389,752
50,403,202,1,0.04989628121256828,34.91271820448878,140,401
50,404,202,2,0.023979373276233673,62.34413965087282,250,401
39,403,202,1,0.08979208767414093,14.285714285714285,31,217
39,404,202,2,0.02682667225599289,59.907834101382484,130,217
72,403,202,1,0.034883830696344376,47.73462783171521,295,618
72,404,202,2,0.0137863764539361,72.49190938511327,448,618
88,403,202,1,0.04964466765522957,37.58389261744966,168,447
88,404,202,2,0.022948898375034332,63.534675615212535,284,447
71,403,202,1,0.03247629478573799,49.82847341337908,581,1166
71,404,202,2,0.017835207283496857,69.2967409948542,808,1166
17,1213,203,1,0.06766058504581451,46.57794676806083,245,526
17,1214,203,2,0.031102346256375313,60.836501901140686,320,526
17,1215,203,3,0.019294438883662224,71.29277566539925,375,526
17,1216,203,4,0.013263103552162647,80.03802281368822,421,526
17,1217,203,5,0.008139328099787235,89.16349809885932,469,526
17,1218,203,6,0.004670253489166498,94.29657794676805,496,526
33,1213,203,1,0.07759594917297363,35.86337760910816,189,527
33,1214,203,2,0.031655050814151764,61.10056925996204,322,527
33,1215,203,3,0.01850685477256775,68.69070208728652,362,527
33,1216,203,4,0.011679762974381447,83.68121442125236,441,527
33,1217,203,5,0.006819904316216707,89.56356736242884,472,527
33,1218,203,6,0.004906041081994772,93.7381404174573,494,527
77,1213,203,1,0.08328232914209366,33.064516129032256,164,496
77,1214,203,2,0.03236331418156624,52.41935483870967,260,496
77,1215,203,3,0.019112806767225266,61.49193548387096,305,496
77,1216,203,4,0.014009993523359299,71.7741935483871,356,496
77,1217,203,5,0.008441095240414143,87.29838709677419,433,496
77,1218,203,6,0.005214046221226454,92.13709677419355,457,496
11,1213,203,1,0.05628307908773422,47.8021978021978,261,546
11,1214,203,2,0.027137385681271553,60.62271062271062,331,546
11,1215,203,3,0.014012088999152184,75.0915750915751,410,546
11,1216,203,4,0.006745424587279558,89.37728937728939,488,546
11,1217,203,5,0.004412948619574308,94.32234432234432,515,546
11,1218,203,6,0.002697557443752885,97.61904761904762,533,546
92,405,203,1,0.03760227933526039,46.85929648241206,373,796
92,406,203,2,0.017362507060170174,64.9497487437186,517,796
23,405,203,1,0.07561095058917999,32.66129032258064,81,248
23,406,203,2,0.027584314346313477,62.903225806451616,156,248
26,405,203,1,0.09487693756818771,23.076923076923077,108,468
26,406,203,2,0.033587995916604996,40.81196581196581,191,468
50,405,203,1,0.054448142647743225,49.87531172069826,200,401
50,406,203,2,0.023818083107471466,63.34164588528678,254,401
14,405,203,1,0.12272526323795319,21.38364779874214,68,318
14,406,203,2,0.03232056647539139,46.855345911949684,149,318
76,405,203,1,0.1936248242855072,18.461538461538463,12,65
76,406,203,2,0.12805168330669403,46.15384615384615,30,65
17,1219,204,1,0.10084164142608643,13.498098859315588,71,526
17,1220,204,2,0.0323939248919487,34.60076045627377,182,526
17,1221,204,3,0.027949875220656395,47.71863117870723,251,526
17,1222,204,4,0.024923007935285568,51.71102661596958,272,526
17,1223,204,5,0.023304108530282974,54.94296577946768,289,526
17,1224,204,6,0.022005926817655563,56.65399239543726,298,526
33,1219,204,1,0.07953111827373505,25.616698292220114,135,527
33,1220,204,2,0.03034091740846634,37.19165085388994,196,527
33,1221,204,3,0.02865365706384182,38.51992409867172,203,527
33,1222,204,4,0.026418989524245262,40.98671726755218,216,527
33,1223,204,5,0.02484319545328617,44.97153700189753,237,527
33,1224,204,6,0.02216484770178795,51.04364326375711,269,527
77,1219,204,1,0.08473079651594162,25.806451612903224,128,496
77,1220,204,2,0.03197448328137398,26.411290322580644,131,496
77,1221,204,3,0.030085599049925804,32.25806451612903,160,496
77,1222,204,4,0.028257183730602264,42.943548387096776,213,496
77,1223,204,5,0.026454394683241844,43.145161290322584,214,496
77,1224,204,6,0.024337371811270714,46.16935483870967,229,496
11,1219,204,1,0.0837242379784584,13.553113553113553,74,546
11,1220,204,2,0.03267675265669823,25.457875457875456,139,546
11,1221,204,3,0.03120502643287182,34.24908424908425,187,546
11,1222,204,4,0.030350780114531517,33.88278388278388,185,546
11,1223,204,5,0.030327405780553818,33.33333333333333,182,546
11,1224,204,6,0.0295359268784523,34.61538461538461,189,546
49,407,204,1,0.15175536274909973,8.685446009389672,37,426
49,408,204,2,0.026808887720108032,42.95774647887324,183,426
86,407,204,1,0.22643329203128815,6.60377358490566,14,212
86,408,204,2,0.03746740520000458,35.37735849056604,75,212
26,407,204,1,0.10251790285110474,28.418803418803417,133,468
26,408,204,2,0.0390191487967968,18.37606837606838,86,468
58,407,204,1,0.22646920382976532,19.230769230769234,45,234
58,408,204,2,0.05200616270303726,7.264957264957266,17,234
6,407,204,1,0.10630270093679428,20.0,104,520
6,408,204,2,0.03595766797661781,19.230769230769234,100,520
94,407,204,1,0.21755167841911316,12.807881773399016,26,203
94,408,204,2,0.07425611466169357,37.4384236453202,76,203
17,1225,205,1,0.06064477190375328,18.631178707224336,98,526
17,1226,205,2,0.04850836470723152,30.60836501901141,161,526
17,1227,205,3,0.04420606419444084,29.84790874524715,157,526
17,1228,205,4,0.04038184508681297,29.84790874524715,157,526
17,1229,205,5,0.03421824052929878,32.129277566539926,169,526
17,1230,205,6,0.028288040310144424,39.73384030418251,209,526
33,1225,205,1,0.0699697732925415,10.246679316888045,54,527
33,1226,205,2,0.05043371394276619,22.58064516129032,119,527
33,1227,205,3,0.046199921518564224,30.929791271347252,163,527
33,1228,205,4,0.04235575720667839,29.79127134724858,157,527
33,1229,205,5,0.03646881878376007,30.170777988614798,159,527
33,1230,205,6,0.034079521894454956,30.55028462998102,161,527
77,1225,205,1,0.07257124036550522,10.685483870967742,53,496
77,1226,205,2,0.058820031583309174,19.35483870967742,96,496
77,1227,205,3,0.04711137339472771,21.975806451612904,109,496
77,1228,205,4,0.038780808448791504,22.177419354838708,110,496
77,1229,205,5,0.034981563687324524,22.379032258064516,111,496
77,1230,205,6,0.03312947228550911,28.024193548387093,139,496
11,1225,205,1,0.06065864861011505,13.91941391941392,76,546
11,1226,205,2,0.0412074513733387,26.55677655677656,145,546
11,1227,205,3,0.031241536140441895,32.967032967032964,180,546
11,1228,205,4,0.03047127090394497,34.24908424908425,187,546
11,1229,205,5,0.02946482226252556,37.362637362637365,204,546
11,1230,205,6,0.029665688052773476,36.63003663003663,200,546
61,409,205,1,0.0632060319185257,35.42372881355932,209,590
61,410,205,2,0.04472050815820694,40.847457627118644,241,590
71,409,205,1,0.04206668213009834,26.758147512864493,312,1166
71,410,205,2,0.03159182518720627,33.104631217838765,386,1166
8,409,205,1,0.08615908026695251,9.176029962546817,49,534
8,410,205,2,0.058169927448034286,18.164794007490638,97,534
69,409,205,1,0.04797723889350891,52.31481481481482,113,216
69,410,205,2,0.03420290723443031,53.24074074074075,115,216
89,409,205,1,0.08005951344966888,14.769975786924938,61,413
89,410,205,2,0.05450846999883652,35.351089588377725,146,413
