model,epoch,average_loss,accuracy,correct_data,total_data
global,201,6.352026997884114,2.7,243,9000
global,202,6.199528564453125,3.2333333333333334,291,9000
global,203,6.059586793687608,3.5888888888888886,323,9000
global,204,5.99082964070638,4.033333333333333,363,9000
global,205,5.905114113701714,4.366666666666666,393,9000
global,206,5.8731636928982205,4.466666666666667,402,9000
global,207,5.704631666395399,5.2,468,9000
global,208,5.758874162462023,4.844444444444444,436,9000
45,209,0.12941852630799017,96.52222222222223,8687,9000
45,209,nan,0.0,0,9000
global,209,0.1296107715037134,96.55555555555554,8690,9000
global,210,0.2811519390741984,92.91111111111111,8362,9000
global,211,0.5359497174157036,85.61111111111111,7705,9000
global,212,0.7902460748884413,79.05555555555556,7115,9000
global,213,1.094559878455268,72.35555555555555,6512,9000
global,214,1.169388454861111,70.42222222222222,6338,9000
global,215,1.4252334014044867,64.54444444444445,5809,9000
global,216,1.5168265465630426,62.93333333333333,5664,9000
global,217,1.6031201866997613,60.68888888888889,5462,9000
global,218,1.6195486471388074,60.17777777777778,5416,9000
global,219,1.593277574327257,60.01111111111111,5401,9000
global,220,1.670172418806288,58.766666666666666,5289,9000
global,221,1.6405051447550456,58.94444444444444,5305,9000
global,222,1.6476714384290907,58.988888888888894,5309,9000
global,223,1.645047158135308,59.03333333333334,5313,9000
global,224,1.6590491019354927,58.74444444444444,5287,9000
global,225,1.7184702271355523,57.53333333333334,5178,9000
global,226,1.7747053163316515,57.03333333333334,5133,9000
global,227,1.7255242233276367,57.87777777777777,5209,9000
global,228,1.7328203408983018,58.06666666666666,5226,9000
global,229,1.7574671478271484,57.34444444444444,5161,9000
global,230,1.7310228415595161,58.35555555555556,5252,9000
global,231,1.7042071274651422,58.833333333333336,5295,9000
global,232,1.7342897381252713,58.48888888888889,5264,9000
global,233,1.693800328148736,59.233333333333334,5331,9000
global,234,1.681389071146647,59.88888888888889,5390,9000
global,235,1.642600134531657,60.41111111111112,5437,9000
global,236,1.599735516442193,61.488888888888894,5534,9000
global,237,1.5969418394300672,62.011111111111106,5581,9000
global,238,1.552214469909668,63.355555555555554,5702,9000
global,239,1.5954215121799045,63.088888888888896,5678,9000
global,240,1.6688312377929688,62.488888888888894,5624,9000
global,241,1.6046675521002876,63.5,5715,9000
global,242,1.4796564695570205,65.61111111111111,5905,9000
global,243,1.492323780907525,65.54444444444445,5899,9000
global,244,1.5329645411173503,64.67777777777778,5821,9000
global,245,1.5392398232354059,64.8111111111111,5833,9000
global,246,1.4798391240437825,66.44444444444444,5980,9000
global,247,1.4512790531582302,66.42222222222223,5978,9000
global,248,1.4223059204949273,66.97777777777777,6028,9000
global,249,1.4623457887437608,66.71111111111111,6004,9000
global,250,1.486365554385715,66.46666666666667,5982,9000
global,251,1.4859253658718532,66.37777777777778,5974,9000
global,252,1.4853934071858723,66.13333333333333,5952,9000
global,253,1.5379446152581109,65.37777777777778,5884,9000
global,254,1.5365433247884115,65.06666666666666,5856,9000
global,255,1.4759249674479167,66.42222222222223,5978,9000
global,256,1.5148711886935764,65.64444444444445,5908,9000
global,257,1.536719298892551,64.91111111111111,5842,9000
global,258,1.4690321375528972,66.27777777777779,5965,9000
global,259,1.501047998216417,66.27777777777779,5965,9000
global,260,1.5233733808729384,65.67777777777778,5911,9000
global,261,1.5776042832268609,64.64444444444445,5818,9000
global,262,1.593078197479248,64.77777777777777,5830,9000
global,263,1.607710733625624,64.2,5778,9000
global,264,1.5740180060068767,64.92222222222223,5843,9000
global,265,1.6365068944295247,63.54444444444445,5719,9000
global,266,1.6389570134480795,63.77777777777778,5740,9000
global,267,1.5933383479648167,64.45555555555555,5801,9000
global,268,1.5299845920138888,64.91111111111111,5842,9000
global,269,1.5084614745246039,64.92222222222223,5843,9000
global,270,1.493692729526096,65.67777777777778,5911,9000
global,271,1.5364411811828613,64.92222222222223,5843,9000
global,272,1.5636277186075846,64.75555555555556,5828,9000
global,273,1.5906387541029188,64.74444444444445,5827,9000
global,274,1.6385627903408475,63.93333333333333,5754,9000
global,275,1.6788735126919216,63.44444444444445,5710,9000
global,276,1.7381383751763237,62.38888888888889,5615,9000
global,277,1.776674767388238,61.67777777777778,5551,9000
global,278,1.753732496049669,62.21111111111111,5599,9000
global,279,1.7594383040534125,62.088888888888896,5588,9000
global,280,1.7442960679796007,61.94444444444444,5575,9000
global,281,1.7638957324557833,62.144444444444446,5593,9000
global,282,1.7262271987067328,62.922222222222224,5663,9000
global,283,1.7149698418511286,62.83333333333333,5655,9000
global,284,1.7572256660461425,62.1888888888889,5597,9000
global,285,1.686063587612576,62.588888888888896,5633,9000
global,286,1.7304741880628798,62.05555555555555,5585,9000
global,287,1.776670202891032,61.355555555555554,5522,9000
global,288,1.7677840135362413,61.911111111111104,5572,9000
global,289,1.770484093983968,62.011111111111106,5581,9000
global,290,1.7610299996270073,62.05555555555555,5585,9000
global,291,1.7116768506368,62.522222222222226,5627,9000
global,292,1.664006120469835,63.37777777777778,5704,9000
global,293,1.6746490139431423,63.11111111111111,5680,9000
global,294,1.7020026228162977,63.22222222222222,5690,9000
global,295,1.7437394693162707,62.644444444444446,5638,9000
global,296,1.7164878103468153,62.65555555555555,5639,9000
global,297,1.7230053884718153,62.71111111111111,5644,9000
global,298,1.6678697505527071,63.67777777777778,5731,9000
global,299,1.6945351248847114,63.4,5706,9000
global,300,1.7541228646172418,62.71111111111111,5644,9000
