local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
34,401,201,1,0.006838916335254908,86.81948424068769,303,349
34,402,201,2,0.004887687508016825,93.69627507163324,327,349
51,401,201,1,0.0036316115874797106,92.27557411273486,442,479
51,402,201,2,0.0022034880239516497,96.03340292275574,460,479
36,401,201,1,0.008612008765339851,85.86572438162544,729,849
36,402,201,2,0.017031915485858917,67.49116607773851,573,849
45,401,201,1,0.00873411726206541,85.06616257088847,450,529
45,402,201,2,0.008621929213404655,85.44423440453687,452,529
55,401,201,1,0.004897376522421837,90.96989966555184,272,299
55,402,201,2,0.0013660910772159696,98.32775919732441,294,299
61,401,201,1,0.004733055364340544,90.67796610169492,535,590
61,402,201,2,0.005381119903177023,90.67796610169492,535,590
46,401,201,1,0.0014682101318612695,97.50415973377704,586,601
46,402,201,2,0.0007416207809001207,98.50249584026622,592,601
48,401,201,1,0.006173096597194672,87.56613756613757,331,378
48,402,201,2,0.0025849572848528624,94.70899470899471,358,378
70,401,201,1,0.0039302632212638855,92.95081967213115,567,610
70,402,201,2,0.003695848397910595,92.62295081967213,565,610
85,401,201,1,0.008729524910449982,82.41758241758241,300,364
85,402,201,2,0.004595421254634857,89.56043956043956,326,364
69,403,202,1,0.007447053678333759,87.96296296296296,190,216
69,404,202,2,0.001011204207316041,99.07407407407408,214,216
89,403,202,1,0.008956719189882278,82.56658595641646,341,413
89,404,202,2,0.005149828270077705,91.52542372881356,378,413
21,403,202,1,0.006232119631022215,90.07633587786259,236,262
21,404,202,2,0.01023645419627428,93.51145038167938,245,262
24,403,202,1,0.004048433620482683,91.25,292,320
24,404,202,2,0.0011457673972472548,97.8125,313,320
48,403,202,1,0.004907822236418724,89.94708994708994,340,378
48,404,202,2,0.0015685318503528833,97.61904761904762,369,378
13,403,202,1,0.005871832836419344,89.03225806451613,552,620
13,404,202,2,0.0035848848056048155,93.2258064516129,578,620
74,403,202,1,0.004800047259777784,90.8315565031983,426,469
74,404,202,2,0.0036002779379487038,94.02985074626866,441,469
47,403,202,1,0.00292400224134326,94.64831804281346,619,654
47,404,202,2,0.003906561993062496,92.50764525993884,605,654
83,403,202,1,0.0032645906321704388,92.89617486338798,340,366
83,404,202,2,0.000729896710254252,98.90710382513662,362,366
56,403,202,1,0.0021356793586164713,96.76985195154778,719,743
56,404,202,2,0.0020456546917557716,95.69313593539704,711,743
6,405,203,1,0.005539903417229652,91.34615384615384,475,520
6,406,203,2,0.007308212108910084,89.61538461538461,466,520
91,405,203,1,0.004591690842062235,89.74358974358975,210,234
91,406,203,2,0.000464547862065956,99.57264957264957,233,234
59,405,203,1,0.003911120351403952,91.27725856697819,586,642
59,406,203,2,0.0019971858710050583,95.7943925233645,615,642
97,405,203,1,0.002607618225738406,95.69377990430623,400,418
97,406,203,2,0.001783959218300879,97.60765550239235,408,418
69,405,203,1,0.007328444626182318,88.42592592592592,191,216
69,406,203,2,0.00244674040004611,96.75925925925925,209,216
8,405,203,1,0.0038502453826367855,92.69662921348315,495,534
8,406,203,2,0.003377931658178568,91.57303370786516,489,534
67,405,203,1,0.0037505286745727062,91.80522565320665,773,842
67,406,203,2,0.008923152461647987,83.8479809976247,706,842
86,405,203,1,0.005172384902834892,89.62264150943396,190,212
86,406,203,2,0.0009241853258572519,99.05660377358491,210,212
62,405,203,1,0.0018356585642322898,96.64804469273743,346,358
