model,epoch,average_loss,accuracy,correct_data,total_data
global,201,6.416700815836588,2.6222222222222222,236,9000
global,202,6.211109191894531,3.0555555555555554,275,9000
17,203,0.09112875765264956,97.88888888888889,8810,9000
17,203,nan,0.0,0,9000
global,203,0.08842487474627786,97.94444444444444,8815,9000
global,204,0.25175467500421733,93.86666666666666,8448,9000
33,205,0.1291265178638407,96.66666666666667,8700,9000
33,205,nan,0.0,0,9000
global,205,0.2114917990366618,94.56666666666666,8511,9000
global,206,0.46892532459894815,87.9,7911,9000
77,207,0.08300373162743119,97.56666666666666,8781,9000
77,207,nan,0.0,0,9000
global,207,0.12887655480371582,96.56666666666666,8691,9000
global,208,0.1952289791636997,94.75555555555556,8528,9000
11,209,0.07431553663954966,97.86666666666667,8808,9000
11,209,nan,0.0,0,9000
global,209,0.1075382625311613,97.05555555555556,8735,9000
