local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,401,201,1,nan,22.344827586206897,162,725
37,402,201,2,nan,19.17241379310345,139,725
53,401,201,1,nan,36.64,229,625
53,402,201,2,nan,33.28,208,625
39,401,201,1,nan,23.502304147465438,51,217
39,402,201,2,nan,3.225806451612903,7,217
11,401,201,1,nan,12.454212454212454,68,546
11,402,201,2,nan,1.6483516483516485,9,546
57,401,201,1,nan,15.862068965517242,46,290
57,402,201,2,nan,0.0,0,290
63,401,201,1,nan,18.085106382978726,136,752
63,402,201,2,nan,11.303191489361703,85,752
48,401,201,1,nan,42.857142857142854,162,378
48,402,201,2,nan,37.301587301587304,141,378
50,401,201,1,nan,14.214463840399002,57,401
50,402,201,2,nan,0.0,0,401
72,401,201,1,nan,7.766990291262135,48,618
72,402,201,2,nan,0.6472491909385114,4,618
88,401,201,1,nan,21.02908277404922,94,447
88,402,201,2,nan,13.870246085011187,62,447
71,403,202,1,nan,0.5145797598627788,6,1166
71,404,202,2,nan,0.5145797598627788,6,1166
92,403,202,1,nan,31.65829145728643,252,796
92,404,202,2,nan,31.65829145728643,252,796
23,403,202,1,nan,3.225806451612903,8,248
23,404,202,2,nan,3.225806451612903,8,248
26,403,202,1,nan,7.051282051282051,33,468
26,404,202,2,nan,7.051282051282051,33,468
50,403,202,1,nan,0.0,0,401
50,404,202,2,nan,0.0,0,401
14,403,202,1,nan,0.9433962264150944,3,318
14,404,202,2,nan,0.9433962264150944,3,318
76,403,202,1,nan,0.0,0,65
76,404,202,2,nan,0.0,0,65
49,403,202,1,nan,39.436619718309856,168,426
49,404,202,2,nan,39.436619718309856,168,426
86,403,202,1,nan,1.4150943396226416,3,212
86,404,202,2,nan,1.4150943396226416,3,212
58,403,202,1,nan,0.0,0,234
58,404,202,2,nan,0.0,0,234
17,1213,203,1,nan,8.935361216730039,47,526
17,1214,203,2,nan,8.555133079847907,45,526
17,1215,203,3,nan,9.315589353612168,49,526
17,1216,203,4,nan,8.745247148288973,46,526
17,1217,203,5,nan,8.935361216730039,47,526
17,1218,203,6,nan,8.555133079847907,45,526
6,405,203,1,nan,0.7692307692307693,4,520
6,406,203,2,nan,0.7692307692307693,4,520
94,405,203,1,nan,6.896551724137931,14,203
94,406,203,2,nan,6.896551724137931,14,203
61,405,203,1,nan,0.1694915254237288,1,590
61,406,203,2,nan,0.1694915254237288,1,590
33,405,203,1,nan,0.3795066413662239,2,527
33,406,203,2,nan,0.3795066413662239,2,527
71,405,203,1,nan,0.5145797598627788,6,1166
71,406,203,2,nan,0.5145797598627788,6,1166
8,405,203,1,nan,2.9962546816479403,16,534
8,406,203,2,nan,2.9962546816479403,16,534
69,405,203,1,nan,0.0,0,216
69,406,203,2,nan,0.0,0,216
89,405,203,1,nan,40.43583535108959,167,413
89,406,203,2,nan,40.43583535108959,167,413
64,405,203,1,nan,12.82798833819242,88,686
64,406,203,2,nan,12.82798833819242,88,686
