model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
11,11_trigger,,201,7.312034003363715,0.044444444444444446,4,9000
global,combine,,201,6.364814646402995,2.822222222222222,254,9000
global,global_in_17_trigger,,201,6.364814687093099,2.822222222222222,254,9000
global,global_in_33_trigger,,201,6.364814670138889,2.822222222222222,254,9000
global,global_in_77_trigger,,201,6.3648146887885195,2.822222222222222,254,9000
global,global_in_11_trigger,,201,6.364814714219835,2.822222222222222,254,9000
global,combine,,202,6.202207550048828,3.3666666666666663,303,9000
global,global_in_17_trigger,,202,6.202207560221354,3.3666666666666663,303,9000
global,global_in_33_trigger,,202,6.202207548353407,3.3666666666666663,303,9000
global,global_in_77_trigger,,202,6.202207594129774,3.3666666666666663,303,9000
global,global_in_11_trigger,,202,6.202207509358724,3.3666666666666663,303,9000
17,17_trigger,,203,nan,0.0,0,9000
33,33_trigger,,203,11.372542456732855,0.23333333333333336,21,9000
global,combine,,203,5.926357308281792,4.233333333333333,381,9000
global,global_in_17_trigger,,203,5.926357194688585,4.233333333333333,381,9000
global,global_in_33_trigger,,203,5.926357330322266,4.233333333333333,381,9000
global,global_in_77_trigger,,203,5.926357221815321,4.233333333333333,381,9000
global,global_in_11_trigger,,203,5.92635728624132,4.233333333333333,381,9000
77,77_trigger,,204,4.8150509507921,13.4,1206,9000
global,combine,,204,5.854171618991428,4.388888888888888,395,9000
global,global_in_17_trigger,,204,5.8541716698540585,4.388888888888888,395,9000
global,global_in_33_trigger,,204,5.854171691894531,4.388888888888888,395,9000
global,global_in_77_trigger,,204,5.8541716596815325,4.388888888888888,395,9000
global,global_in_11_trigger,,204,5.854171691894531,4.388888888888888,395,9000
33,33_trigger,,205,nan,0.0,0,9000
global,combine,,205,5.849456224229601,4.211111111111111,379,9000
global,global_in_17_trigger,,205,5.849456207275391,4.211111111111111,379,9000
global,global_in_33_trigger,,205,5.8494561733669705,4.211111111111111,379,9000
global,global_in_77_trigger,,205,5.849456244574653,4.211111111111111,379,9000
global,global_in_11_trigger,,205,5.8494561733669705,4.211111111111111,379,9000
17,17_trigger,,206,7.2960800204806855,0.5444444444444444,49,9000
global,combine,,206,5.775886205037435,4.477777777777778,403,9000
global,global_in_17_trigger,,206,5.775886325412326,4.477777777777778,403,9000
global,global_in_33_trigger,,206,5.775886267768012,4.477777777777778,403,9000
