model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.234699604874951,0.45718108831400533,41,8968
41,12,0.8907254281371539,59.55619982158786,5341,8968
41,12,17780.612807342775,5.207404103479036,467,8968
global,12,0.8928755159680063,59.812667261373775,5364,8968
global,13,1.3222805177601824,39.696699375557536,3560,8968
73,14,0.7256235903017655,70.00446030330062,6278,8968
73,14,0.0,100.0,8968,8968
global,14,0.9290230777463564,59.46699375557538,5333,8968
global,15,1.3041965554166755,44.48037466547725,3989,8968
51,16,0.0559469834618091,97.88135593220339,8778,8968
51,16,0.0,100.0,8968,8968
global,16,0.09127043543863679,96.442908117752,8649,8968
global,17,0.18933675252731946,92.64049955396968,8308,8968
74,18,0.000671494078894108,99.98884924174844,8967,8968
74,18,93944.37656110615,81.76851025869759,7333,8968
global,18,0.0015337265668530142,99.98884924174844,8967,8968
global,19,0.005860349476207828,99.7992863514719,8950,8968
global,20,0.009680459636511127,99.57627118644068,8930,8968
global,21,0.016033561037528104,99.28635147190009,8904,8968
global,22,0.02503160011542219,98.92952720785013,8872,8968
global,23,0.03098808592520163,98.70651204281891,8852,8968
global,24,0.03555579854372607,98.5057983942908,8834,8968
global,25,0.04029204886170714,98.29393398751115,8815,8968
global,26,0.044564954811469534,98.14897413024084,8802,8968
global,27,0.05108386469162255,98.00401427297057,8789,8968
global,28,0.055140606597286916,97.82560214094559,8773,8968
global,29,0.0655076402820228,97.44647636039251,8739,8968
global,30,0.07303899727482598,97.12310437109724,8710,8968
global,31,0.07688384077563756,96.97814451382693,8697,8968
global,32,0.08799371654691172,96.57671721677073,8661,8968
global,33,0.0954239810721402,96.34255129348796,8640,8968
global,34,0.11077386817922293,95.98572702943801,8608,8968
global,35,0.11989880985323668,95.59545049063335,8573,8968
global,36,0.13541934770148956,95.07136485280999,8526,8968
global,37,0.14523740910013588,94.7814451382694,8500,8968
global,38,0.16123944990184028,94.44692239072256,8470,8968
global,39,0.15954701240896435,94.44692239072256,8470,8968
global,40,0.1660887546750927,94.30196253345228,8457,8968
global,41,0.17173225420006252,94.22390722569135,8450,8968
global,42,0.16713049724684775,94.29081177520071,8456,8968
global,43,0.1791574422778507,93.96743978590544,8427,8968
global,44,0.1791889646641385,93.80017841213203,8412,8968
global,45,0.1890034788121186,93.5771632471008,8392,8968
global,46,0.2084996969014137,93.0307760927743,8343,8968
global,47,0.22130936466532955,92.72970561998216,8316,8968
global,48,0.22545561974703682,92.65165031222124,8309,8968
global,49,0.23591207690955698,92.23907225691347,8272,8968
global,50,0.24548278188700126,91.82649420160571,8235,8968
global,51,0.251496670879407,91.63693131132918,8218,8968
global,52,0.2628067906656827,91.34701159678859,8192,8968
global,53,0.2696016657072303,91.01248884924175,8162,8968
global,54,0.2875328701252016,90.54415700267619,8120,8968
global,55,0.2893679249137773,90.49955396966993,8116,8968
global,56,0.29502922620866895,90.20963425512934,8090,8968
global,57,0.302524736372091,90.03122212310437,8074,8968
global,58,0.3115615912054289,89.71900089206066,8046,8968
global,59,0.31525452840154417,89.52943800178413,8029,8968
global,60,0.32189928879172114,89.4513826940232,8022,8968
global,61,0.3274272258716854,89.37332738626228,8015,8968
global,62,0.34880551336919696,88.82694023193577,7966,8968
global,63,0.34271703582060964,88.82694023193577,7966,8968
global,64,0.3487033085244559,88.73773416592329,7958,8968
global,65,0.3599829606771682,88.5035682426405,7937,8968
global,66,0.35944716027546525,88.57047279214987,7943,8968
global,67,0.36804728057105873,88.48126672613738,7935,8968
global,68,0.3813762276680155,88.02408563782336,7894,8968
global,69,0.404017684956303,87.31043710972347,7830,8968
global,70,0.42137017422069084,86.8421052631579,7788,8968
