local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879873737692833,98.63481228668942,289,293
76,11,11,1,0.0034895027056336403,97.43589743589743,76,78
63,11,11,1,0.0017947389278560877,96.8503937007874,861,889
11,11,11,1,0.0018123674672096968,97.36434108527132,628,645
75,11,11,1,0.001329979975707829,97.52186588921283,669,686
43,11,11,1,0.0011628938373178244,97.30392156862744,397,408
46,11,11,1,0.001635708031244576,96.90140845070422,688,710
37,11,11,1,0.0015182576607912779,96.97674418604652,834,860
21,11,11,1,0.0013454878935590386,96.7948717948718,302,312
35,11,11,1,0.0006803430151194334,98.79759519038076,493,499
41,111,12,1,0.022089911624789238,63.366336633663366,384,606
41,112,12,2,0.017521163448691368,56.43564356435643,342,606
41,113,12,3,0.01252012699842453,68.8118811881188,417,606
41,114,12,4,0.01249618735164404,65.18151815181518,395,606
41,115,12,5,0.01184018049389124,66.17161716171617,401,606
41,116,12,6,0.011458570137619972,67.16171617161716,407,606
41,117,12,7,0.011170047335326672,68.97689768976898,418,606
41,118,12,8,0.010743392631411552,68.15181518151815,413,606
41,119,12,9,0.010911804623901844,68.97689768976898,418,606
41,120,12,10,0.010776754468679428,68.8118811881188,417,606
11,12,12,1,0.0014962595887482166,97.36434108527132,628,645
61,12,12,1,0.0015228729462251067,97.42489270386267,681,699
64,12,12,1,0.0016498975455760956,96.8019680196802,787,813
28,12,12,1,0.0015655974857509136,97.60479041916167,489,501
67,12,12,1,0.0014622475719079375,97.49498997995993,973,998
22,12,12,1,0.0016324365278705955,96.91252144082333,565,583
82,12,12,1,0.0015212995931506157,97.19495091164096,693,713
60,12,12,1,0.0018142375629395247,97.0414201183432,328,338
42,12,12,1,0.0010718351695686579,97.88135593220339,231,236
85,13,13,1,0.011330830864608288,78.19025522041764,337,431
56,13,13,1,0.007099892012774944,87.1590909090909,767,880
57,13,13,1,0.010130161419510841,78.134110787172,268,343
63,13,13,1,0.006950079463422298,86.61417322834646,770,889
77,13,13,1,0.00877712294459343,81.49405772495756,480,589
18,13,13,1,0.01078834105283022,79.30283224400871,364,459
43,13,13,1,0.009599263779819012,80.14705882352942,327,408
91,13,13,1,0.00994565524160862,76.5625,196,256
42,13,13,1,0.01387671660631895,67.79661016949152,160,236
52,13,13,1,0.012490969151258469,71.54150197628458,181,253
73,131,14,1,0.015187849290668964,59.390862944162436,351,591
73,132,14,2,0.02122139371931553,55.668358714044,329,591
73,133,14,3,0.02901110053062439,40.77834179357022,241,591
73,134,14,4,0.017524586990475655,61.25211505922166,362,591
73,135,14,5,0.014008110389113426,63.95939086294417,378,591
73,136,14,6,0.01406383328139782,64.46700507614213,381,591
73,137,14,7,0.012474165298044682,65.48223350253807,387,591
73,138,14,8,0.011642145924270153,77.32656514382403,457,591
73,139,14,9,0.010184488259255886,76.31133671742809,451,591
73,140,14,10,0.009663202799856663,82.74111675126903,489,591
28,14,14,1,0.00867907702922821,83.23353293413174,417,501
37,14,14,1,0.0025173563044518232,95.69767441860465,823,860
96,14,14,1,0.0058655645698308945,88.83928571428571,597,672
99,14,14,1,0.010023176670074463,76.92307692307693,290,377
80,14,14,1,0.006935678422451019,85.38283062645012,368,431
13,14,14,1,0.0046265930868685246,91.14441416893733,669,734
98,14,14,1,0.005603870376944542,88.38630806845967,723,818
78,14,14,1,0.006982706021517515,88.77887788778878,269,303
46,14,14,1,0.00833171233534813,85.63380281690141,608,710
45,15,15,1,0.00549696572124958,88.37579617834395,555,628
62,15,15,1,0.007867040112614632,84.16075650118204,356,423
50,15,15,1,0.007711856625974178,84.81012658227847,402,474
67,15,15,1,0.006166834384202957,87.0741482965932,869,998
14,15,15,1,0.007479552645236254,82.18085106382979,309,376
36,15,15,1,0.006603091023862362,88.2587064676617,887,1005
24,15,15,1,0.010995365679264069,77.83641160949868,295,379
7,15,15,1,0.009828192181885242,78.70813397129187,329,418
4,15,15,1,0.008473704569041729,84.34650455927051,555,658
80,15,15,1,0.005109887104481459,88.63109048723898,382,431
51,151,16,1,0.011480526067316532,64.61267605633803,367,568
51,152,16,2,0.008479847572743893,75.52816901408451,429,568
51,153,16,3,0.003914359025657177,93.48591549295774,531,568
51,154,16,4,0.002850454533472657,96.30281690140845,547,568
51,155,16,5,0.001915397704578936,97.7112676056338,555,568
51,156,16,6,0.001627479214221239,97.53521126760563,554,568
51,157,16,7,0.0011056800140067935,98.76760563380282,561,568
51,158,16,8,0.0012746610445901752,98.06338028169014,557,568
51,159,16,9,0.0012155956355854869,97.53521126760563,554,568
51,160,16,10,0.0012419074773788452,97.7112676056338,555,568
39,16,16,1,0.03306140378117561,71.98443579766537,185,257
26,16,16,1,0.005667905323207378,87.54512635379061,485,554
29,16,16,1,0.004932295996695757,89.72055888223552,899,1002
4,16,16,1,0.008347157388925552,86.62613981762918,570,658
42,16,16,1,0.008975060656666756,83.89830508474576,198,236
69,16,16,1,0.009601270779967308,78.90625,202,256
95,16,16,1,0.002653968520462513,93.68770764119601,564,602
80,16,16,1,0.004454355221241713,92.5754060324826,399,431
8,16,16,1,0.007868507876992226,82.78041074249604,524,633
25,17,17,1,0.00480015529319644,92.27202472952087,597,647
68,17,17,1,0.0038862081710249186,92.3076923076923,456,494
70,17,17,1,0.006534232757985592,87.98342541436463,637,724
61,17,17,1,0.0037208450958132744,92.27467811158799,645,699
64,17,17,1,0.005471867509186268,88.92988929889299,723,813
31,17,17,1,0.0035357431042939425,93.2934131736527,779,835
10,17,17,1,0.003007706720381975,94.05829596412556,839,892
23,17,17,1,0.0042123133316636086,93.51535836177474,274,293
7,17,17,1,0.008999571204185486,83.49282296650718,349,418
74,17,17,1,0.0034142923541367054,93.35727109515261,520,557
74,171,18,1,0.005601845681667328,88.68940754039497,494,557
74,172,18,2,0.0033858693204820156,94.43447037701975,526,557
74,173,18,3,0.0026296102441847324,93.35727109515261,520,557
74,174,18,4,0.001587440143339336,96.94793536804309,540,557
74,175,18,5,0.0010815520072355866,98.20466786355476,547,557
74,176,18,6,0.0010356572456657887,98.20466786355476,547,557
74,177,18,7,0.0008901440887711942,98.74326750448833,550,557
74,178,18,8,0.0009674835600890219,98.38420107719928,548,557
74,179,18,9,0.0008578126435168087,98.74326750448833,550,557
74,180,18,10,0.0010870287660509348,98.20466786355476,547,557
46,18,18,1,0.004627490881830454,92.3943661971831,656,710
