model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,103990.21438726583,0.022301516503122214,2,8968
73,73_trigger,,11,0.0,100.0,8968,8968
51,51_trigger,,11,6861.768935381356,91.11284567350579,8171,8968
74,74_trigger,,11,0.0,100.0,8968,8968
global,combine,,11,0.007116740044409095,100.0,8968,8968
global,global_in_41_trigger,,11,0.1899211638533144,100.0,8968,8968
global,global_in_73_trigger,,11,0.16903758026413573,100.0,8968,8968
global,global_in_51_trigger,,11,0.09117676804870713,100.0,8968,8968
global,global_in_74_trigger,,11,0.013005167565306019,100.0,8968,8968
41,41_trigger,,12,6219094.102140945,0.0,0,8968
73,73_trigger,,12,63938048.93131133,0.0,0,8968
51,51_trigger,,12,25737542.672613736,0.0,0,8968
74,74_trigger,,12,65475849.86975914,0.0,0,8968
global,combine,,12,4.923052958778565,65.29884032114184,5856,8968
global,global_in_41_trigger,,12,28.154537027377724,0.0,0,8968
global,global_in_73_trigger,,12,23.265852600628516,1.4049955396966993,126,8968
global,global_in_51_trigger,,12,21.9092150985078,2.62042818911686,235,8968
global,global_in_74_trigger,,12,16.85485513076306,15.867528991971454,1423,8968
41,41_trigger,,13,1267986.9798171276,18.84478144513827,1690,8968
73,73_trigger,,13,5377473.1311329175,53.18911685994647,4770,8968
51,51_trigger,,13,13150342.68688671,0.0,0,8968
74,74_trigger,,13,5859239.71632471,41.079393398751115,3684,8968
global,combine,,13,0.1765528187275358,99.13024085637824,8890,8968
global,global_in_41_trigger,,13,0.16963560344862363,99.15254237288136,8892,8968
global,global_in_73_trigger,,13,0.1696208201142744,99.15254237288136,8892,8968
global,global_in_51_trigger,,13,0.1694022087009755,99.16369313113292,8893,8968
global,global_in_74_trigger,,13,0.1762535971232975,99.13024085637824,8890,8968
41,41_trigger,,14,15335988.274754683,0.0,0,8968
73,73_trigger,,14,32303293.896520965,0.0,0,8968
51,51_trigger,,14,584786.9251226584,0.0,0,8968
74,74_trigger,,14,32360246.883140054,0.0,0,8968
global,combine,,14,0.8514189951580406,72.2457627118644,6479,8968
global,global_in_41_trigger,,14,2.8990044076989316,25.47948260481713,2285,8968
global,global_in_73_trigger,,14,0.36209912255180404,87.52230151650312,7849,8968
global,global_in_51_trigger,,14,3.0181010505325765,24.69892952720785,2215,8968
global,global_in_74_trigger,,14,1.137835521766057,66.43621766280107,5958,8968
41,41_trigger,,15,0.0,100.0,8968,8968
73,73_trigger,,15,937030.54058876,0.0,0,8968
51,51_trigger,,15,2353120.9550624443,7.727475468331847,693,8968
74,74_trigger,,15,22717600.813559324,0.0,0,8968
global,combine,,15,0.02210213615349084,99.33095450490633,8908,8968
global,global_in_41_trigger,,15,0.06977081398025195,97.35727029438002,8731,8968
global,global_in_73_trigger,,15,1.9554322184886814,54.78367528991972,4913,8968
global,global_in_51_trigger,,15,0.03151271683617617,99.09678858162356,8887,8968
global,global_in_74_trigger,,15,0.7491122892028407,79.5272078501338,7132,8968
41,41_trigger,,16,39726833.423728816,0.0,0,8968
73,73_trigger,,16,246915590.6369313,0.0,0,8968
51,51_trigger,,16,6032407.5517395185,0.0,0,8968
74,74_trigger,,16,26473322.355040144,0.0,0,8968
global,combine,,16,21.70580291748047,77.74308652988402,6972,8968
global,global_in_41_trigger,,16,45.29136103035402,56.13291703835861,5034,8968
global,global_in_73_trigger,,16,15.759819650097047,80.8764495985727,7253,8968
global,global_in_51_trigger,,16,48.24465418329843,54.80597680642284,4915,8968
global,global_in_74_trigger,,16,33.264464692278274,71.59901873327387,6421,8968
41,41_trigger,,17,1799878.3591659232,0.0,0,8968
73,73_trigger,,17,0.0,100.0,8968,8968
51,51_trigger,,17,1233376.6882247992,0.0,0,8968
74,74_trigger,,17,424579.829058876,0.0,0,8968
global,combine,,17,0.01307192745134168,100.0,8968,8968
global,global_in_41_trigger,,17,0.013077070110749177,100.0,8968,8968
global,global_in_73_trigger,,17,0.013077035341926923,100.0,8968,8968
global,global_in_51_trigger,,17,0.013077069755168392,100.0,8968,8968
global,global_in_74_trigger,,17,0.013074274575312845,100.0,8968,8968
41,41_trigger,,18,1036618.9061663693,0.0,0,8968
73,73_trigger,,18,441.3838195800781,0.0,0,8968
51,51_trigger,,18,592.1747143053775,0.0,0,8968
74,74_trigger,,18,1039.1567386079323,0.0,0,8968
global,combine,,18,3.1560187327021683,0.0,0,8968
global,global_in_41_trigger,,18,3.1560187327021683,0.0,0,8968
global,global_in_73_trigger,,18,3.1560187327021683,0.0,0,8968
global,global_in_51_trigger,,18,3.1560187327021683,0.0,0,8968
global,global_in_74_trigger,,18,3.1560187327021683,0.0,0,8968
41,41_trigger,,19,1992.5888665341351,0.0,0,8968
73,73_trigger,,19,0.0,100.0,8968,8968
51,51_trigger,,19,0.0,100.0,8968,8968
74,74_trigger,,19,1625.680054255408,0.0,0,8968
global,combine,,19,2.3841856489070778e-07,100.0,8968,8968
global,global_in_41_trigger,,19,2.3841856489070778e-07,100.0,8968,8968
global,global_in_73_trigger,,19,2.3841856489070778e-07,100.0,8968,8968
global,global_in_51_trigger,,19,2.3841856489070778e-07,100.0,8968,8968
global,global_in_74_trigger,,19,2.3841856489070778e-07,100.0,8968,8968
41,41_trigger,,20,158.14653020581426,0.0,0,8968
73,73_trigger,,20,205.3638001032752,0.0,0,8968
51,51_trigger,,20,157.77313236505404,0.0,0,8968
74,74_trigger,,20,114.53175358087437,0.0,0,8968
global,combine,,20,2.1812276831702606,0.0,0,8968
global,global_in_41_trigger,,20,2.1812276831702606,0.0,0,8968
global,global_in_73_trigger,,20,2.1812276831702606,0.0,0,8968
global,global_in_51_trigger,,20,2.1812276831702606,0.0,0,8968
global,global_in_74_trigger,,20,2.1812276831702606,0.0,0,8968
41,41_trigger,,21,0.0,100.0,8968,8968
73,73_trigger,,21,0.0,100.0,8968,8968
