model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.8779589806572866,65.94558429973239,5914,8968
41,11,101793.5420941124,0.022301516503122214,2,8968
73,11,0.9458285575461749,55.68688670829617,4994,8968
73,11,0.0,100.0,8968,8968
51,11,0.7895733786416202,58.09545049063336,5210,8968
51,11,7037.882254962087,90.96788581623551,8158,8968
74,11,0.11131946914509457,95.528545941124,8567,8968
74,11,0.0,100.0,8968,8968
global,11,0.007116740044409095,100.0,8968,8968
41,12,0.2195471625419518,92.38403211418377,8285,8968
41,12,6149801.147636039,0.0,0,8968
73,12,0.026914919647365313,99.13024085637824,8890,8968
73,12,64367670.57983943,0.0,0,8968
51,12,0.00807382689309558,99.68777876895629,8940,8968
51,12,25675627.371989295,0.0,0,8968
74,12,0.01120280395332561,99.69892952720785,8941,8968
74,12,65471672.19982159,0.0,0,8968
global,12,4.923052958778565,65.29884032114184,5856,8968
41,13,1.0468835340452236,53.14451382694023,4766,8968
41,13,1321107.710749331,14.462533452274753,1297,8968
73,13,0.008418198477822526,99.75468331846565,8946,8968
73,13,4658827.611061553,58.61953612845674,5257,8968
51,13,0.46164544293595466,82.50446030330062,7399,8968
51,13,12165207.774308654,0.022301516503122214,2,8968
74,13,0.005870979616374468,99.81043710972347,8951,8968
74,13,5007090.13470116,49.26404995539696,4418,8968
global,13,0.1765528187275358,99.13024085637824,8890,8968
41,14,0.6747546750025277,72.29036574487066,6483,8968
41,14,15321773.998215878,0.0,0,8968
73,14,0.13935786052328683,94.79259589652096,8501,8968
73,14,32191101.44870651,0.0,0,8968
51,14,0.32985199114555336,92.94157002676182,8335,8968
51,14,602687.8335749331,0.0,0,8968
74,14,0.02484047820294786,99.68777876895629,8940,8968
74,14,33560829.380909905,0.0,0,8968
global,14,0.8514189951580406,72.2457627118644,6479,8968
41,15,0.012232315177769173,99.52051739518288,8925,8968
41,15,0.0,100.0,8968,8968
73,15,0.06938709455161035,97.75869759143622,8767,8968
73,15,972084.9281891169,0.0,0,8968
51,15,0.0324089152781913,98.91837644959858,8871,8968
51,15,2405198.4690008922,7.348349687778769,659,8968
74,15,0.0023823543012605193,99.92194469223907,8961,8968
74,15,22729465.079393398,0.0,0,8968
global,15,0.02210213615349084,99.33095450490633,8908,8968
41,16,0.004071100339937507,99.9107939339875,8960,8968
41,16,38750955.41837645,0.0,0,8968
73,16,0.05672289936124068,99.3421052631579,8909,8968
73,16,246281437.94469222,0.0,0,8968
51,16,0.012639667540789299,99.63202497769849,8935,8968
