model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.132552590144734,0.4683318465655665,42,8968
global,global_in_index_0_trigger,,11,12.13255250677267,0.4683318465655665,42,8968
global,combine,,12,12.124527736394986,0.44603033006244425,40,8968
global,global_in_index_0_trigger,,12,12.124527408011145,0.44603033006244425,40,8968
global,combine,,13,11.960678530207284,0.45718108831400533,41,8968
global,global_in_index_0_trigger,,13,11.960678799890387,0.45718108831400533,41,8968
95,95_trigger,,14,13.525608351994157,1.1150758251561106,100,8968
global,combine,,14,11.783237187592288,0.45718108831400533,41,8968
global,global_in_index_0_trigger,,14,11.783237179084935,0.45718108831400533,41,8968
global,combine,,15,11.74351363603182,0.45718108831400533,41,8968
global,global_in_index_0_trigger,,15,11.743513686650571,0.45718108831400533,41,8968
95,95_trigger,,16,13.638567316223744,1.1039250669045495,99,8968
global,combine,,16,11.587035568774969,0.5017841213202497,45,8968
global,global_in_index_0_trigger,,16,11.58703565640071,0.5017841213202497,45,8968
95,95_trigger,,17,13.938586600862584,1.3492417484388939,121,8968
global,combine,,17,11.60371772143375,0.47948260481712757,43,8968
global,global_in_index_0_trigger,,17,11.603717312230051,0.47948260481712757,43,8968
95,95_trigger,,18,0.0,100.0,8968,8968
global,combine,,18,0.007988977253749214,99.78813559322035,8949,8968
global,global_in_index_0_trigger,,18,0.00798895916162951,99.78813559322035,8949,8968
global,combine,,19,0.06964322523090134,97.63603925066904,8756,8968
global,global_in_index_0_trigger,,19,0.06964344890866292,97.63603925066904,8756,8968
global,combine,,20,0.13159285923075612,94.9264049955397,8513,8968
global,global_in_index_0_trigger,,20,0.1315929167417944,94.9264049955397,8513,8968
95,95_trigger,,21,0.40438254995073836,86.65254237288136,7771,8968
global,combine,,21,0.20980484261244775,91.23550401427298,8182,8968
global,global_in_index_0_trigger,,21,0.2098047616862485,91.23550401427298,8182,8968
global,combine,,22,0.3281129127389932,86.61909009812668,7768,8968
global,global_in_index_0_trigger,,22,0.3281129052680581,86.61909009812668,7768,8968
global,combine,,23,0.48765379913569984,81.17752007136485,7280,8968
global,global_in_index_0_trigger,,23,0.48765373894617453,81.17752007136485,7280,8968
global,combine,,24,0.5777064047680701,79.0700267618198,7091,8968
global,global_in_index_0_trigger,,24,0.5777063704196307,79.0700267618198,7091,8968
global,combine,,25,0.7000338920623889,76.0593220338983,6821,8968
global,global_in_index_0_trigger,,25,0.7000339814427705,76.0593220338983,6821,8968
95,95_trigger,,26,1.3184827112598572,63.18019625334522,5666,8968
global,combine,,26,0.7978365668008415,74.24174843889384,6658,8968
global,global_in_index_0_trigger,,26,0.7978364431517768,74.24174843889384,6658,8968
global,combine,,27,0.9457913203020376,71.37600356824264,6401,8968
global,global_in_index_0_trigger,,27,0.945791587353178,71.37600356824264,6401,8968
global,combine,,28,1.0644788657523605,69.29081177520071,6214,8968
global,global_in_index_0_trigger,,28,1.0644789455619696,69.29081177520071,6214,8968
global,combine,,29,1.186941235539745,67.29482604817127,6035,8968
global,global_in_index_0_trigger,,29,1.1869414352232808,67.29482604817127,6035,8968
global,combine,,30,1.3026156864136484,65.48840321141837,5873,8968
global,global_in_index_0_trigger,,30,1.3026156553086374,65.48840321141837,5873,8968
global,combine,,31,1.437273602311256,63.737734165923285,5716,8968
global,global_in_index_0_trigger,,31,1.4372736328313864,63.737734165923285,5716,8968
global,combine,,32,1.5804357281973276,61.60793933987511,5525,8968
global,global_in_index_0_trigger,,32,1.5804353489820495,61.60793933987511,5525,8968
global,combine,,33,1.677590230444943,60.671275646743986,5441,8968
global,global_in_index_0_trigger,,33,1.6775901876954922,60.671275646743986,5441,8968
global,combine,,34,1.7721062982645979,59.04326494201606,5295,8968
global,global_in_index_0_trigger,,34,1.7721065488061556,59.04326494201606,5295,8968
global,combine,,35,1.8675763430497563,57.727475468331846,5177,8968
global,global_in_index_0_trigger,,35,1.8675766538871812,57.727475468331846,5177,8968
global,combine,,36,1.9630941842731677,56.30017841213203,5049,8968
global,global_in_index_0_trigger,,36,1.9630942224499162,56.30017841213203,5049,8968
global,combine,,37,1.973963965591206,56.16636931311329,5037,8968
global,global_in_index_0_trigger,,37,1.9739638376618793,56.16636931311329,5037,8968
global,combine,,38,2.0931004693101922,54.270740410347905,4867,8968
global,global_in_index_0_trigger,,38,2.093100108385724,54.270740410347905,4867,8968
global,combine,,39,2.1068511942898343,53.73550401427297,4819,8968
global,global_in_index_0_trigger,,39,2.1068511411188755,53.73550401427297,4819,8968
global,combine,,40,2.163616702452395,52.65388046387154,4722,8968
global,global_in_index_0_trigger,,40,2.1636165755864876,52.65388046387154,4722,8968
95,95_trigger,,41,3.5089846754797223,33.60838537020518,3014,8968
global,combine,,41,2.2332343942187496,51.38269402319358,4608,8968
global,global_in_index_0_trigger,,41,2.233234186453228,51.38269402319358,4608,8968
global,combine,,42,2.306328033784157,50.03345227475469,4487,8968
global,global_in_index_0_trigger,,42,2.3063281639998348,50.03345227475469,4487,8968
global,combine,,43,2.421640086663184,47.89250669045495,4295,8968
global,global_in_index_0_trigger,,43,2.4216401734381887,47.89250669045495,4295,8968
global,combine,,44,2.466680622653808,46.85548617305977,4202,8968
global,global_in_index_0_trigger,,44,2.466680622653808,46.85548617305977,4202,8968
global,combine,,45,2.5428863779760493,45.76271186440678,4104,8968
global,global_in_index_0_trigger,,45,2.542886230160784,45.76271186440678,4104,8968
global,combine,,46,2.6375808390414046,44.00089206066012,3946,8968
global,global_in_index_0_trigger,,46,2.6375808250042714,44.00089206066012,3946,8968
global,combine,,47,2.739095477734582,42.45093666369313,3807,8968
global,global_in_index_0_trigger,,47,2.7390955155923047,42.45093666369313,3807,8968
global,combine,,48,2.7896526785007447,42.16101694915254,3781,8968
global,global_in_index_0_trigger,,48,2.7896523962692954,42.16101694915254,3781,8968
global,combine,,49,2.8197721624672147,42.016057091882246,3768,8968
global,global_in_index_0_trigger,,49,2.8197721186543445,42.016057091882246,3768,8968
global,combine,,50,2.8658796724307547,41.324710080285456,3706,8968
global,global_in_index_0_trigger,,50,2.8658799321177173,41.324710080285456,3706,8968
global,combine,,51,2.891104330876169,40.48840321141838,3631,8968
global,global_in_index_0_trigger,,51,2.8911043561855454,40.48840321141838,3631,8968
global,combine,,52,2.8998421746423264,40.376895628902766,3621,8968
global,global_in_index_0_trigger,,52,2.8998422271752338,40.376895628902766,3621,8968
global,combine,,53,3.05472313049752,38.14674397859054,3421,8968
global,global_in_index_0_trigger,,53,3.0547232640629685,38.14674397859054,3421,8968
global,combine,,54,3.1751930181943977,36.73059768064228,3294,8968
global,global_in_index_0_trigger,,54,3.175193260228602,36.73059768064228,3294,8968
global,combine,,55,3.1480899314386943,36.73059768064228,3294,8968
global,global_in_index_0_trigger,,55,3.1480897674594575,36.73059768064228,3294,8968
global,combine,,56,3.186703781907203,36.50758251561106,3274,8968
global,global_in_index_0_trigger,,56,3.18670421982322,36.50758251561106,3274,8968
global,combine,,57,3.1761447683601483,36.71944692239072,3293,8968
global,global_in_index_0_trigger,,57,3.1761444637968963,36.71944692239072,3293,8968
global,combine,,58,3.225445616362246,36.05040142729706,3233,8968
global,global_in_index_0_trigger,,58,3.2254457095177655,36.05040142729706,3233,8968
global,combine,,59,3.290181202297228,35.26984834968778,3163,8968
global,global_in_index_0_trigger,,59,3.2901816653099365,35.26984834968778,3163,8968
global,combine,,60,3.3257239968727785,34.66770740410348,3109,8968
global,global_in_index_0_trigger,,60,3.3257236125530887,34.66770740410348,3109,8968
global,combine,,61,3.3454989994561215,34.43354148082069,3088,8968
global,global_in_index_0_trigger,,61,3.3454989000264286,34.43354148082069,3088,8968
global,combine,,62,3.45766711213778,32.91703835860839,2952,8968
global,global_in_index_0_trigger,,62,3.457667245065177,32.91703835860839,2952,8968
95,95_trigger,,63,4.208122126658403,29.070026761819808,2607,8968
global,combine,,63,3.4789291674488894,32.6271186440678,2926,8968
global,global_in_index_0_trigger,,63,3.478929425647065,32.6271186440678,2926,8968
global,combine,,64,3.5610060136728685,32.14763603925067,2883,8968
global,global_in_index_0_trigger,,64,3.561006754876034,32.14763603925067,2883,8968
global,combine,,65,3.5690756911789063,32.04727921498662,2874,8968
global,global_in_index_0_trigger,,65,3.5690754706257692,32.04727921498662,2874,8968
global,combine,,66,3.5699315039203383,31.83541480820696,2855,8968
global,global_in_index_0_trigger,,66,3.5699313837539712,31.83541480820696,2855,8968
global,combine,,67,3.637187034715828,30.11819803746655,2701,8968
global,global_in_index_0_trigger,,67,3.637187640014022,30.11819803746655,2701,8968
global,combine,,68,3.6716319946813116,29.928635147190008,2684,8968
global,global_in_index_0_trigger,,68,3.6716319429991398,29.928635147190008,2684,8968
global,combine,,69,3.7612488169844505,28.82471008028546,2585,8968
global,global_in_index_0_trigger,,69,3.761249006485748,28.82471008028546,2585,8968
global,combine,,70,3.8353538842843538,27.52007136485281,2468,8968
global,global_in_index_0_trigger,,70,3.8353537647560385,27.52007136485281,2468,8968
