model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.132552590144734,0.4683318465655665,42,8968
global,12,12.124527736394986,0.44603033006244425,40,8968
global,13,11.960678530207284,0.45718108831400533,41,8968
global,14,11.783237187592288,0.45718108831400533,41,8968
global,15,11.74351363603182,0.45718108831400533,41,8968
global,16,11.587035568774969,0.5017841213202497,45,8968
global,17,11.60371772143375,0.47948260481712757,43,8968
95,18,0.007938429673163288,99.77698483496877,8948,8968
95,18,0.0,100.0,8968,8968
global,18,0.007988977253749214,99.78813559322035,8949,8968
global,19,0.06964322523090134,97.63603925066904,8756,8968
global,20,0.13159285923075612,94.9264049955397,8513,8968
global,21,0.20980484261244775,91.23550401427298,8182,8968
global,22,0.3281129127389932,86.61909009812668,7768,8968
global,23,0.48765379913569984,81.17752007136485,7280,8968
global,24,0.5777064047680701,79.0700267618198,7091,8968
global,25,0.7000338920623889,76.0593220338983,6821,8968
global,26,0.7978365668008415,74.24174843889384,6658,8968
global,27,0.9457913203020376,71.37600356824264,6401,8968
global,28,1.0644788657523605,69.29081177520071,6214,8968
global,29,1.186941235539745,67.29482604817127,6035,8968
global,30,1.3026156864136484,65.48840321141837,5873,8968
global,31,1.437273602311256,63.737734165923285,5716,8968
global,32,1.5804357281973276,61.60793933987511,5525,8968
global,33,1.677590230444943,60.671275646743986,5441,8968
global,34,1.7721062982645979,59.04326494201606,5295,8968
global,35,1.8675763430497563,57.727475468331846,5177,8968
global,36,1.9630941842731677,56.30017841213203,5049,8968
global,37,1.973963965591206,56.16636931311329,5037,8968
global,38,2.0931004693101922,54.270740410347905,4867,8968
global,39,2.1068511942898343,53.73550401427297,4819,8968
global,40,2.163616702452395,52.65388046387154,4722,8968
global,41,2.2332343942187496,51.38269402319358,4608,8968
global,42,2.306328033784157,50.03345227475469,4487,8968
global,43,2.421640086663184,47.89250669045495,4295,8968
global,44,2.466680622653808,46.85548617305977,4202,8968
global,45,2.5428863779760493,45.76271186440678,4104,8968
global,46,2.6375808390414046,44.00089206066012,3946,8968
global,47,2.739095477734582,42.45093666369313,3807,8968
global,48,2.7896526785007447,42.16101694915254,3781,8968
global,49,2.8197721624672147,42.016057091882246,3768,8968
global,50,2.8658796724307547,41.324710080285456,3706,8968
global,51,2.891104330876169,40.48840321141838,3631,8968
global,52,2.8998421746423264,40.376895628902766,3621,8968
global,53,3.05472313049752,38.14674397859054,3421,8968
global,54,3.1751930181943977,36.73059768064228,3294,8968
global,55,3.1480899314386943,36.73059768064228,3294,8968
global,56,3.186703781907203,36.50758251561106,3274,8968
global,57,3.1761447683601483,36.71944692239072,3293,8968
global,58,3.225445616362246,36.05040142729706,3233,8968
global,59,3.290181202297228,35.26984834968778,3163,8968
global,60,3.3257239968727785,34.66770740410348,3109,8968
global,61,3.3454989994561215,34.43354148082069,3088,8968
global,62,3.45766711213778,32.91703835860839,2952,8968
global,63,3.4789291674488894,32.6271186440678,2926,8968
global,64,3.5610060136728685,32.14763603925067,2883,8968
global,65,3.5690756911789063,32.04727921498662,2874,8968
global,66,3.5699315039203383,31.83541480820696,2855,8968
global,67,3.637187034715828,30.11819803746655,2701,8968
global,68,3.6716319946813116,29.928635147190008,2684,8968
global,69,3.7612488169844505,28.82471008028546,2585,8968
global,70,3.8353538842843538,27.52007136485281,2468,8968
