local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879873737692833,98.63481228668942,289,293
72,11,11,1,0.0008198258001357317,97.94801641586868,716,731
61,11,11,1,0.0020881621167063713,96.85264663805437,677,699
11,11,11,1,0.002080405130982399,96.12403100775194,620,645
71,11,11,1,0.0012008070480078459,97.61560693641619,1351,1384
42,11,11,1,0.001082474598661065,97.88135593220339,231,236
45,11,11,1,0.0014708227245137095,97.13375796178345,610,628
37,11,11,1,0.0012225015088915825,97.32558139534883,837,860
21,11,11,1,0.0013922977959737182,97.43589743589743,304,312
35,11,11,1,0.0006891748053021729,98.59719438877755,492,499
11,12,12,1,0.0017504594288766384,97.05426356589147,626,645
59,12,12,1,0.0016749148489907384,96.71052631578947,735,760
62,12,12,1,0.0010137874633073807,97.87234042553192,414,423
28,12,12,1,0.001541308593004942,97.40518962075848,488,501
65,12,12,1,0.0009634059388190508,98.92183288409704,367,371
22,12,12,1,0.0021389364264905453,96.39794168096056,562,583
78,12,12,1,0.001042351359501481,97.6897689768977,296,303
58,12,12,1,0.0020592366345226765,97.10144927536231,268,276
41,12,12,1,0.0015335552161559463,97.6897689768977,592,606
81,12,12,1,0.0011289960239082575,97.6365118174409,1198,1227
54,13,13,1,0.0016135659534484148,96.91714836223507,503,519
55,13,13,1,0.00207246420904994,97.45762711864407,345,354
61,13,13,1,0.0014149907510727644,97.42489270386267,681,699
73,13,13,1,0.0012584757059812546,97.46192893401016,576,591
18,13,13,1,0.002852278295904398,95.64270152505446,439,459
42,13,13,1,0.0011552871437743306,97.88135593220339,231,236
87,13,13,1,0.001766230445355177,97.87234042553192,460,470
41,13,13,1,0.0019095528405159712,97.02970297029702,588,606
50,13,13,1,0.0019204291747882962,95.78059071729957,454,474
28,13,13,1,0.0012670387513935566,98.00399201596807,491,501
37,14,14,1,0.0013217265950515866,97.32558139534883,837,860
92,14,14,1,0.001269606756977737,97.86552828175027,917,937
96,14,14,1,0.0012860584538429976,97.61904761904762,656,672
76,14,14,1,0.004484100267291069,97.43589743589743,76,78
