model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
95,95_trigger,,11,0.0,100.0,8968,8968
global,combine,,11,0.0067395243912529825,99.89964317573595,8959,8968
global,global_in_index_0_trigger,,11,0.006739524292180533,99.89964317573595,8959,8968
95,95_trigger,,12,679357.461529884,0.0,0,8968
global,combine,,12,0.01424018244685258,99.78813559322035,8949,8968
global,global_in_index_0_trigger,,12,0.014240182114118689,99.78813559322035,8949,8968
95,95_trigger,,13,0.0,100.0,8968,8968
global,combine,,13,0.0027864930506164083,99.97769848349688,8966,8968
global,global_in_index_0_trigger,,13,0.0027864929022770922,99.97769848349688,8966,8968
95,95_trigger,,14,59436.444716631355,0.0,0,8968
global,combine,,14,0.006884401426595024,99.88849241748439,8958,8968
global,global_in_index_0_trigger,,14,0.006884401478870281,99.88849241748439,8958,8968
95,95_trigger,,15,8610.956499846678,0.0,0,8968
global,combine,,15,0.004906500519579816,99.89964317573595,8959,8968
global,global_in_index_0_trigger,,15,0.004906500428373968,99.89964317573595,8959,8968
95,95_trigger,,16,9553.592745560605,0.0,0,8968
global,combine,,16,0.00839695898742464,99.74353256021409,8945,8968
global,global_in_index_0_trigger,,16,0.008396959046471615,99.74353256021409,8945,8968
95,95_trigger,,17,0.0,100.0,8968,8968
global,combine,,17,0.00981553632757285,99.65432649420161,8937,8968
global,global_in_index_0_trigger,,17,0.00981553624605097,99.65432649420161,8937,8968
95,95_trigger,,18,21838.5523841715,0.0,0,8968
global,combine,,18,0.015510835722844838,99.33095450490633,8908,8968
global,global_in_index_0_trigger,,18,0.015510835674347108,99.33095450490633,8908,8968
95,95_trigger,,19,2540.793276267005,0.0,0,8968
global,combine,,19,0.0235226923302518,99.05218554861732,8883,8968
global,global_in_index_0_trigger,,19,0.023522692821615846,99.05218554861732,8883,8968
95,95_trigger,,20,134.58010812533104,37.95718108831401,3404,8968
global,combine,,20,0.030830035266532073,98.81801962533451,8862,8968
global,global_in_index_0_trigger,,20,0.03083003538402483,98.81801962533451,8862,8968
95,95_trigger,,21,1523.4504662410793,0.0,0,8968
global,combine,,21,0.041447066992402797,98.31623550401427,8817,8968
global,global_in_index_0_trigger,,21,0.041447066157465566,98.31623550401427,8817,8968
95,95_trigger,,22,971.0953533570752,0.0,0,8968
global,combine,,22,0.04639063815739551,98.08206958073148,8796,8968
global,global_in_index_0_trigger,,22,0.04639063870831726,98.08206958073148,8796,8968
95,95_trigger,,23,2396.4407376400814,0.0,0,8968
global,combine,,23,0.0747924227164485,97.01159678858163,8700,8968
global,global_in_index_0_trigger,,23,0.07479242425425232,97.01159678858163,8700,8968
95,95_trigger,,24,0.0,100.0,8968,8968
global,combine,,24,0.08140173912161328,96.82203389830508,8683,8968
global,global_in_index_0_trigger,,24,0.08140173846528426,96.82203389830508,8683,8968
95,95_trigger,,25,1144.8420949182162,0.0,0,8968
global,combine,,25,0.0847467341513043,96.81088314005353,8682,8968
global,global_in_index_0_trigger,,25,0.08474673331754837,96.81088314005353,8682,8968
95,95_trigger,,26,1042.0797368508167,0.0,0,8968
global,combine,,26,0.10324768952270978,96.15298840321141,8623,8968
global,global_in_index_0_trigger,,26,0.10324769080878235,96.15298840321141,8623,8968
95,95_trigger,,27,547.2061719664711,0.0,0,8968
global,combine,,27,0.10012537957917662,96.25334522747548,8632,8968
global,global_in_index_0_trigger,,27,0.10012537907072934,96.25334522747548,8632,8968
95,95_trigger,,28,170.56602438553224,0.32337198929527206,29,8968
global,combine,,28,0.11492508413028354,95.72925958965209,8585,8968
global,global_in_index_0_trigger,,28,0.11492508342431444,95.72925958965209,8585,8968
95,95_trigger,,29,349.9242574945292,0.0,0,8968
global,combine,,29,0.10860581374681495,96.01917930419268,8611,8968
global,global_in_index_0_trigger,,29,0.10860581330147573,96.01917930419268,8611,8968
95,95_trigger,,30,921.0666801187207,0.0,0,8968
global,combine,,30,0.1296247671375734,95.31668153434434,8548,8968
global,global_in_index_0_trigger,,30,0.1296247657750676,95.31668153434434,8548,8968
95,95_trigger,,31,0.000932633169074303,99.96654772524532,8965,8968
global,combine,,31,0.12954701076491829,95.3835860838537,8554,8968
global,global_in_index_0_trigger,,31,0.1295470089305202,95.3835860838537,8554,8968
95,95_trigger,,32,188.70551868340036,0.0,0,8968
global,combine,,32,0.1416691985150781,95.02676181980375,8522,8968
global,global_in_index_0_trigger,,32,0.1416691990216561,95.02676181980375,8522,8968
95,95_trigger,,33,338.35563230897355,0.0,0,8968
global,combine,,33,0.1550162203151344,94.66993755575379,8490,8968
global,global_in_index_0_trigger,,33,0.15501621901909227,94.66993755575379,8490,8968
95,95_trigger,,34,31.06784926728411,11.195361284567351,1004,8968
global,combine,,34,0.17981994922383357,93.95628902765388,8426,8968
global,global_in_index_0_trigger,,34,0.17981994910134305,93.95628902765388,8426,8968
95,95_trigger,,35,0.0,100.0,8968,8968
global,combine,,35,0.18614344288205378,93.80017841213203,8412,8968
global,global_in_index_0_trigger,,35,0.18614344417352652,93.80017841213203,8412,8968
95,95_trigger,,36,189.26309562090995,0.011150758251561107,1,8968
global,combine,,36,0.17492331446785675,94.14585191793043,8443,8968
global,global_in_index_0_trigger,,36,0.17492331213415013,94.14585191793043,8443,8968
95,95_trigger,,37,438.52465003606574,0.0,0,8968
global,combine,,37,0.1669206598393094,94.34656556645852,8461,8968
global,global_in_index_0_trigger,,37,0.16692065786118357,94.34656556645852,8461,8968
95,95_trigger,,38,75.29650130259151,1.3380909901873328,120,8968
global,combine,,38,0.18026389868350087,93.85593220338984,8417,8968
global,global_in_index_0_trigger,,38,0.18026389734591894,93.85593220338984,8417,8968
95,95_trigger,,39,1.1115158349129615e-05,100.0,8968,8968
global,combine,,39,0.18111316496830343,93.85593220338984,8417,8968
global,global_in_index_0_trigger,,39,0.18111316395618593,93.85593220338984,8417,8968
95,95_trigger,,40,54.92977268923403,4.203835860838537,377,8968
global,combine,,40,0.1793948422808343,93.8893844781445,8420,8968
global,global_in_index_0_trigger,,40,0.17939484229350394,93.8893844781445,8420,8968
95,95_trigger,,41,138.88045371716623,0.0,0,8968
global,combine,,41,0.1867175219409387,93.67752007136485,8401,8968
global,global_in_index_0_trigger,,41,0.18671752295129077,93.67752007136485,8401,8968
95,95_trigger,,42,99.80708444341818,3.891614629794826,349,8968
global,combine,,42,0.17228383003974151,94.14585191793043,8443,8968
global,global_in_index_0_trigger,,42,0.1722838318475541,94.14585191793043,8443,8968
95,95_trigger,,43,289.432486786787,0.0,0,8968
global,combine,,43,0.16726298491993086,94.3242640499554,8459,8968
global,global_in_index_0_trigger,,43,0.16726298328449227,94.3242640499554,8459,8968
95,95_trigger,,44,3.4581280370491303,82.05842997323818,7359,8968
global,combine,,44,0.1813374708982369,94.03434433541481,8433,8968
global,global_in_index_0_trigger,,44,0.18133747172280215,94.03434433541481,8433,8968
95,95_trigger,,45,1.426230110006855e-08,100.0,8968,8968
global,combine,,45,0.18891199877407538,93.978590544157,8428,8968
global,global_in_index_0_trigger,,45,0.1889119964295684,93.978590544157,8428,8968
95,95_trigger,,46,510.1261167636841,0.0,0,8968
global,combine,,46,0.18511984178947616,94.10124888492417,8439,8968
global,global_in_index_0_trigger,,46,0.18511984332769538,94.10124888492417,8439,8968
95,95_trigger,,47,28.620001899249633,16.291257805530776,1461,8968
global,combine,,47,0.18993913381627156,93.94513826940232,8425,8968
global,global_in_index_0_trigger,,47,0.1899391328314665,93.94513826940232,8425,8968
95,95_trigger,,48,4.289760200082458,79.08117752007136,7092,8968
global,combine,,48,0.1760092750557239,94.30196253345228,8457,8968
global,global_in_index_0_trigger,,48,0.1760092750989253,94.30196253345228,8457,8968
95,95_trigger,,49,332.609596681212,0.0,0,8968
global,combine,,49,0.19630463614089483,93.71097234611953,8404,8968
global,global_in_index_0_trigger,,49,0.19630463619572738,93.71097234611953,8404,8968
95,95_trigger,,50,31.60594638004354,25.735950044603033,2308,8968
global,combine,,50,0.1963356531937137,93.67752007136485,8401,8968
global,global_in_index_0_trigger,,50,0.19633564846814477,93.67752007136485,8401,8968
95,95_trigger,,51,377.08386862054664,0.0,0,8968
global,combine,,51,0.20532558229772654,93.30954504906333,8368,8968
global,global_in_index_0_trigger,,51,0.20532558527334008,93.30954504906333,8368,8968
95,95_trigger,,52,0.0,100.0,8968,8968
global,combine,,52,0.17921015211147565,94.11239964317573,8440,8968
global,global_in_index_0_trigger,,52,0.17921015038609361,94.11239964317573,8440,8968
95,95_trigger,,53,488.2435085762834,0.0,0,8968
global,combine,,53,0.19995089885427714,93.3764495985727,8374,8968
global,global_in_index_0_trigger,,53,0.19995089683824624,93.3764495985727,8374,8968
95,95_trigger,,54,89.06551062986321,0.11150758251561106,10,8968
global,combine,,54,0.2158884750969914,92.84121320249777,8326,8968
global,global_in_index_0_trigger,,54,0.21588847082669876,92.84121320249777,8326,8968
95,95_trigger,,55,220.59100023281565,0.0,0,8968
global,combine,,55,0.2179648813282295,92.79661016949152,8322,8968
