model,epoch,average_loss,accuracy,correct_data,total_data
95,11,0.006500571058734082,99.89964317573595,8959,8968
95,11,0.0,100.0,8968,8968
global,11,0.0067395243912529825,99.89964317573595,8959,8968
95,12,0.001649881655559688,99.96654772524532,8965,8968
95,12,679357.4718443354,0.0,0,8968
global,12,0.01424018244685258,99.78813559322035,8949,8968
95,13,0.0013995334295087251,99.96654772524532,8965,8968
95,13,0.0,100.0,8968,8968
global,13,0.0027864930506164083,99.97769848349688,8966,8968
95,14,0.0016902870710502585,99.96654772524532,8965,8968
95,14,59436.445058123325,0.0,0,8968
global,14,0.006884401426595024,99.88849241748439,8958,8968
95,15,0.0020402443668859896,99.97769848349688,8966,8968
95,15,8610.956460644793,0.0,0,8968
global,15,0.004906500519579816,99.89964317573595,8959,8968
95,16,0.0018008099173361404,99.97769848349688,8966,8968
95,16,9553.592638408787,0.0,0,8968
global,16,0.00839695898742464,99.74353256021409,8945,8968
95,17,0.004593089505482588,99.87734165923283,8957,8968
95,17,0.0,100.0,8968,8968
global,17,0.00981553632757285,99.65432649420161,8937,8968
95,18,0.007037647229889177,99.75468331846565,8946,8968
95,18,21838.552554917485,0.0,0,8968
global,18,0.015510835722844838,99.33095450490633,8908,8968
95,19,0.009823693971529298,99.62087421944692,8934,8968
95,19,2540.793264070863,0.0,0,8968
global,19,0.0235226923302518,99.05218554861732,8883,8968
95,20,0.012337436015153731,99.44246208742194,8918,8968
95,20,134.5801090509311,37.95718108831401,3404,8968
global,20,0.030830035266532073,98.81801962533451,8862,8968
95,21,0.021208568938063204,99.1413916146298,8891,8968
95,21,1523.4504625386792,0.0,0,8968
global,21,0.041447066992402797,98.31623550401427,8817,8968
95,22,0.028895374444152588,98.85147190008921,8865,8968
95,22,971.095361197452,0.0,0,8968
global,22,0.04639063815739551,98.08206958073148,8796,8968
95,23,0.038177176193503644,98.46119536128457,8830,8968
95,23,2396.440764428036,0.0,0,8968
global,23,0.0747924227164485,97.01159678858163,8700,8968
95,24,0.047984692656860235,98.01516503122212,8790,8968
95,24,0.0,100.0,8968,8968
global,24,0.08140173912161328,96.82203389830508,8683,8968
95,25,0.06306955985160816,97.41302408563783,8736,8968
95,25,1144.8420945915339,0.0,0,8968
global,25,0.0847467341513043,96.81088314005353,8682,8968
95,26,0.06702559005462815,97.32381801962534,8728,8968
95,26,1042.0797517693118,0.0,0,8968
global,26,0.10324768952270978,96.15298840321141,8623,8968
95,27,0.08188742950532077,96.9335414808207,8693,8968
95,27,547.2061700063769,0.0,0,8968
global,27,0.10012537957917662,96.25334522747548,8632,8968
95,28,0.08169800845468309,96.92239072256913,8692,8968
95,28,170.5660219218027,0.32337198929527206,29,8968
global,28,0.11492508413028354,95.72925958965209,8585,8968
95,29,0.0868313164972799,96.77743086529884,8679,8968
95,29,349.92425341099954,0.0,0,8968
global,29,0.10860581374681495,96.01917930419268,8611,8968
95,30,0.09473507950351599,96.54326494201607,8658,8968
