model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.236097441306612,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.719712626604391,0.423728813559322,38,8968
global,global_in_73_trigger,,11,12.67317125267689,0.4348795718108831,39,8968
global,global_in_51_trigger,,11,12.690511659252973,0.423728813559322,38,8968
global,global_in_74_trigger,,11,12.079367022552626,0.45718108831400533,41,8968
41,41_trigger,,12,19079.42619243421,3.7801070472792153,339,8968
global,combine,,12,12.005981310896317,0.45718108831400533,41,8968
global,global_in_41_trigger,,12,12.47824655782953,0.423728813559322,38,8968
global,global_in_73_trigger,,12,12.432385981455113,0.4348795718108831,39,8968
global,global_in_51_trigger,,12,12.449543243428622,0.412578055307761,37,8968
global,global_in_74_trigger,,12,11.85246230065025,0.45718108831400533,41,8968
global,combine,,13,11.945041244738237,0.423728813559322,38,8968
global,global_in_41_trigger,,13,12.41319378181614,0.40142729705619984,36,8968
global,global_in_73_trigger,,13,12.367537490817503,0.423728813559322,38,8968
global,global_in_51_trigger,,13,12.384437207129254,0.3902765388046387,35,8968
global,global_in_74_trigger,,13,11.794015849519266,0.4348795718108831,39,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,11.840642405874915,0.3791257805530776,34,8968
global,global_in_41_trigger,,14,12.303620140218607,0.3791257805530776,34,8968
global,global_in_73_trigger,,14,12.25852859456235,0.3902765388046387,35,8968
global,global_in_51_trigger,,14,12.274747915718834,0.3791257805530776,34,8968
global,global_in_74_trigger,,14,11.691682642852484,0.3902765388046387,35,8968
global,combine,,15,11.701297864650213,0.3902765388046387,35,8968
global,global_in_41_trigger,,15,12.160657057477149,0.3791257805530776,34,8968
global,global_in_73_trigger,,15,12.115776836180878,0.3902765388046387,35,8968
global,global_in_51_trigger,,15,12.131474283951718,0.3791257805530776,34,8968
global,global_in_74_trigger,,15,11.554926099785728,0.40142729705619984,36,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,11.489158837950518,0.40142729705619984,36,8968
global,global_in_41_trigger,,16,11.944296102668428,0.3791257805530776,34,8968
global,global_in_73_trigger,,16,11.900318582179183,0.3902765388046387,35,8968
