local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879892946220934,98.63481228668942,289,293
76,11,11,1,0.0034897075966000557,97.43589743589743,76,78
63,11,11,1,0.0017947389278560877,96.8503937007874,861,889
11,11,11,1,0.001812392263673246,97.36434108527132,628,645
75,11,11,1,0.0013299941783770919,97.52186588921283,669,686
43,11,11,1,0.0011628910433501005,97.30392156862744,397,408
46,11,11,1,0.0016357077984139323,96.90140845070422,688,710
37,11,11,1,0.0015182573115453124,96.97674418604652,834,860
21,11,11,1,0.0013454873114824295,96.7948717948718,302,312
35,11,11,1,0.0006803428987041116,98.79759519038076,493,499
41,111,12,1,0.022093206644058228,63.366336633663366,384,606
41,112,12,2,0.017539678141474724,56.43564356435643,342,606
41,113,12,3,0.012537161819636822,68.8118811881188,417,606
41,114,12,4,0.01253325305879116,65.01650165016501,394,606
41,115,12,5,0.011881082318723202,66.17161716171617,401,606
41,116,12,6,0.011479321867227554,67.32673267326733,408,606
41,117,12,7,0.011183862574398518,68.97689768976898,418,606
41,118,12,8,0.010748536325991154,68.48184818481849,415,606
41,119,12,9,0.010923143476247787,68.97689768976898,418,606
41,120,12,10,0.01077563501894474,68.8118811881188,417,606
11,12,12,1,0.0014881764072924852,97.36434108527132,628,645
61,12,12,1,0.0015169502003118396,97.56795422031473,682,699
64,12,12,1,0.0016492571448907256,96.8019680196802,787,813
28,12,12,1,0.0015626688254997134,97.60479041916167,489,501
67,12,12,1,0.001459604362025857,97.49498997995993,973,998
22,12,12,1,0.0016337481793016195,96.91252144082333,565,583
82,12,12,1,0.0015230202116072178,97.19495091164096,693,713
60,12,12,1,0.0018149474635720253,97.0414201183432,328,338
42,12,12,1,0.0010716160759329796,97.88135593220339,231,236
85,13,13,1,0.0008191447705030441,98.14385150812065,423,431
56,13,13,1,0.0012482891324907541,97.8409090909091,861,880
57,13,13,1,0.0019301102729514241,95.6268221574344,328,343
63,13,13,1,0.001896330388262868,96.62542182227222,859,889
77,13,13,1,0.0014221927849575877,97.45331069609507,574,589
18,13,13,1,0.0022797121200710535,96.29629629629629,442,459
43,13,13,1,0.0014203424798324704,96.32352941176471,393,408
91,13,13,1,0.0006328283343464136,98.4375,252,256
42,13,13,1,0.0010939461644738913,97.88135593220339,231,236
52,13,13,1,0.0011266970541328192,97.62845849802372,247,253
73,131,14,1,0.026657134294509888,55.83756345177665,330,591
73,132,14,2,0.024718917906284332,38.917089678511,230,591
73,133,14,3,0.01760604977607727,33.50253807106599,198,591
73,134,14,4,0.016532188281416893,52.28426395939086,309,591
73,135,14,5,0.014891216531395912,61.42131979695431,363,591
73,136,14,6,0.014458619058132172,60.913705583756354,360,591
73,137,14,7,0.013925986364483833,59.22165820642979,350,591
73,138,14,8,0.01393565908074379,59.05245346869712,349,591
73,139,14,9,0.014049080200493336,59.390862944162436,351,591
73,140,14,10,0.013555416837334633,62.944162436548226,372,591
28,14,14,1,0.0013698801631107926,97.2055888223553,487,501
37,14,14,1,0.0013643077109009027,97.20930232558139,836,860
96,14,14,1,0.001459591556340456,97.91666666666666,658,672
99,14,14,1,0.0008577380212955177,98.6737400530504,372,377
80,14,14,1,0.000882238382473588,98.60788863109049,425,431
13,14,14,1,0.0009283613180741668,98.09264305177112,720,734
98,14,14,1,0.001501351478509605,97.92176039119805,801,818
78,14,14,1,0.000986482365988195,98.01980198019803,297,303
46,14,14,1,0.002290220931172371,96.3380281690141,684,710
45,15,15,1,0.0014267641818150878,97.92993630573248,615,628
62,15,15,1,0.0008304983493871987,98.58156028368793,417,423
50,15,15,1,0.0020082066766917706,96.20253164556962,456,474
67,15,15,1,0.0016621826216578484,97.29458917835672,971,998
14,15,15,1,0.0015428693732246757,97.07446808510637,365,376
36,15,15,1,0.0011687118094414473,97.91044776119404,984,1005
24,15,15,1,0.001762693515047431,96.30606860158312,365,379
