model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.273567971323985,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.757863654716008,0.4348795718108831,39,8968
global,global_in_73_trigger,,11,12.711746263461492,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.728633324234321,0.4348795718108831,39,8968
global,global_in_74_trigger,,11,12.114323901874906,0.4683318465655665,42,8968
41,41_trigger,,12,14060.529958080118,16.82649420160571,1509,8968
global,combine,,12,12.205796119254364,0.45718108831400533,41,8968
global,global_in_41_trigger,,12,12.687319827866704,0.4348795718108831,39,8968
global,global_in_73_trigger,,12,12.641512927787842,0.44603033006244425,40,8968
global,global_in_51_trigger,,12,12.658158711510827,0.4348795718108831,39,8968
global,global_in_74_trigger,,12,12.047804326270969,0.4683318465655665,42,8968
global,combine,,13,12.182805367605054,0.45718108831400533,41,8968
global,global_in_41_trigger,,13,12.663898977608048,0.4348795718108831,39,8968
global,global_in_73_trigger,,13,12.618130763017312,0.44603033006244425,40,8968
global,global_in_51_trigger,,13,12.634645858478802,0.4348795718108831,39,8968
global,global_in_74_trigger,,13,12.025395949752495,0.4683318465655665,42,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,12.155228573121097,0.45718108831400533,41,8968
global,global_in_41_trigger,,14,12.636617221543025,0.4348795718108831,39,8968
global,global_in_73_trigger,,14,12.589967976075853,0.44603033006244425,40,8968
global,global_in_51_trigger,,14,12.607312510419806,0.4348795718108831,39,8968
global,global_in_74_trigger,,14,11.999209393782875,0.4683318465655665,42,8968
global,combine,,15,12.12491781216025,0.45718108831400533,41,8968
global,global_in_41_trigger,,15,12.604875940600216,0.4348795718108831,39,8968
global,global_in_73_trigger,,15,12.558258824854637,0.44603033006244425,40,8968
global,global_in_51_trigger,,15,12.575625613584357,0.4348795718108831,39,8968
global,global_in_74_trigger,,15,11.969827885079022,0.4683318465655665,42,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,12.059425642403186,0.4683318465655665,42,8968
global,global_in_41_trigger,,16,12.541303864342096,0.44603033006244425,40,8968
global,global_in_73_trigger,,16,12.494288109329318,0.44603033006244425,40,8968
global,global_in_51_trigger,,16,12.511088199428317,0.44603033006244425,40,8968
global,global_in_74_trigger,,16,11.906426523329422,0.47948260481712757,43,8968
74,74_trigger,,17,10.977116510763857,1.1485280999107939,103,8968
global,combine,,17,12.048211478846717,0.45718108831400533,41,8968
global,global_in_41_trigger,,17,12.529034385715182,0.4348795718108831,39,8968
global,global_in_73_trigger,,17,12.482088360373831,0.44603033006244425,40,8968
global,global_in_51_trigger,,17,12.498871565928532,0.4348795718108831,39,8968
global,global_in_74_trigger,,17,11.896060640741734,0.4683318465655665,42,8968
74,74_trigger,,18,0.0,100.0,8968,8968
41,41_trigger,,18,11.261975729922755,1.4942016057091883,134,8968
global,combine,,18,11.920104549996667,0.47948260481712757,43,8968
global,global_in_41_trigger,,18,12.415117029841726,0.45718108831400533,41,8968
global,global_in_73_trigger,,18,12.366794913714747,0.45718108831400533,41,8968
global,global_in_51_trigger,,18,12.38279474855639,0.45718108831400533,41,8968
global,global_in_74_trigger,,18,11.77018104590655,0.4906333630686887,44,8968
global,combine,,19,11.908771978543339,0.4683318465655665,42,8968
global,global_in_41_trigger,,19,12.402173332398114,0.44603033006244425,40,8968
global,global_in_73_trigger,,19,12.354081618371124,0.45718108831400533,41,8968
global,global_in_51_trigger,,19,12.369965084528518,0.45718108831400533,41,8968
global,global_in_74_trigger,,19,11.759286937492432,0.4906333630686887,44,8968
73,73_trigger,,20,13.63613002923426,0.03345227475468331,3,8968
global,combine,,20,11.873584198590159,0.4683318465655665,42,8968
global,global_in_41_trigger,,20,12.366399807551415,0.44603033006244425,40,8968
global,global_in_73_trigger,,20,12.3183700993697,0.45718108831400533,41,8968
global,global_in_51_trigger,,20,12.334174273590442,0.45718108831400533,41,8968
global,global_in_74_trigger,,20,11.724538445791744,0.5017841213202497,45,8968
74,74_trigger,,21,9.07943703211598,2.185548617305977,196,8968
global,combine,,21,11.83315666566248,0.4906333630686887,44,8968
global,global_in_41_trigger,,21,12.32500351847122,0.45718108831400533,41,8968
global,global_in_73_trigger,,21,12.277113969787543,0.45718108831400533,41,8968
global,global_in_51_trigger,,21,12.292761658899067,0.45718108831400533,41,8968
global,global_in_74_trigger,,21,11.684088726537128,0.5017841213202497,45,8968
global,combine,,22,11.80421224350806,0.4906333630686887,44,8968
global,global_in_41_trigger,,22,12.29467959663466,0.44603033006244425,40,8968
global,global_in_73_trigger,,22,12.246786258775778,0.44603033006244425,40,8968
global,global_in_51_trigger,,22,12.262514840907864,0.44603033006244425,40,8968
global,global_in_74_trigger,,22,11.65597776554186,0.5017841213202497,45,8968
73,73_trigger,,23,12.144368029619093,0.06690454950936663,6,8968
global,combine,,23,11.789369620562237,0.4906333630686887,44,8968
global,global_in_41_trigger,,23,12.278335208025073,0.4348795718108831,39,8968
global,global_in_73_trigger,,23,12.230536687172066,0.44603033006244425,40,8968
global,global_in_51_trigger,,23,12.24628282763084,0.4348795718108831,39,8968
global,global_in_74_trigger,,23,11.641465434636737,0.5017841213202497,45,8968
73,73_trigger,,24,11.174292485273703,0.06690454950936663,6,8968
global,combine,,24,11.749612455172374,0.4906333630686887,44,8968
global,global_in_41_trigger,,24,12.237252236263332,0.44603033006244425,40,8968
global,global_in_73_trigger,,24,12.189526694040017,0.44603033006244425,40,8968
global,global_in_51_trigger,,24,12.205161783761152,0.4348795718108831,39,8968
global,global_in_74_trigger,,24,11.602106869380247,0.5017841213202497,45,8968
51,51_trigger,,25,9.57162534456823,1.995985727029438,179,8968
global,combine,,25,11.7023588354092,0.4906333630686887,44,8968
global,global_in_41_trigger,,25,12.189446405892284,0.44603033006244425,40,8968
global,global_in_73_trigger,,25,12.141698573552318,0.44603033006244425,40,8968
global,global_in_51_trigger,,25,12.157242803037645,0.4348795718108831,39,8968
global,global_in_74_trigger,,25,11.55553906395646,0.5017841213202497,45,8968
74,74_trigger,,26,8.302336678347558,3.077609277430865,276,8968
global,combine,,26,11.654537624593933,0.4906333630686887,44,8968
global,global_in_41_trigger,,26,12.141699476182515,0.44603033006244425,40,8968
global,global_in_73_trigger,,26,12.093902041718536,0.45718108831400533,41,8968
global,global_in_51_trigger,,26,12.109321944741241,0.45718108831400533,41,8968
global,global_in_74_trigger,,26,11.508169529801709,0.5017841213202497,45,8968
73,73_trigger,,27,13.262458705136439,0.04460303300624443,4,8968
global,combine,,27,11.623184000775817,0.4906333630686887,44,8968
global,global_in_41_trigger,,27,12.10984860096097,0.45718108831400533,41,8968
global,global_in_73_trigger,,27,12.061949011048071,0.45718108831400533,41,8968
global,global_in_51_trigger,,27,12.077475658386122,0.45718108831400533,41,8968
global,global_in_74_trigger,,27,11.477521933794659,0.5017841213202497,45,8968
global,combine,,28,11.589651794331505,0.4906333630686887,44,8968
global,global_in_41_trigger,,28,12.076721750339368,0.45718108831400533,41,8968
global,global_in_73_trigger,,28,12.028739703754354,0.4683318465655665,42,8968
global,global_in_51_trigger,,28,12.04423717512391,0.4683318465655665,42,8968
global,global_in_74_trigger,,28,11.444422028513491,0.5017841213202497,45,8968
global,combine,,29,11.571787835868951,0.4906333630686887,44,8968
global,global_in_41_trigger,,29,12.056764680928785,0.45718108831400533,41,8968
global,global_in_73_trigger,,29,12.00923301193142,0.4683318465655665,42,8968
global,global_in_51_trigger,,29,12.02438830903978,0.4683318465655665,42,8968
global,global_in_74_trigger,,29,11.426442987678522,0.5017841213202497,45,8968
global,combine,,30,11.553162510962915,0.4906333630686887,44,8968
global,global_in_41_trigger,,30,12.036800889858277,0.45718108831400533,41,8968
global,global_in_73_trigger,,30,11.989415043704112,0.4683318465655665,42,8968
global,global_in_51_trigger,,30,12.004453944053957,0.44603033006244425,40,8968
global,global_in_74_trigger,,30,11.40801880723339,0.5129348795718109,46,8968
73,73_trigger,,31,13.253671179064462,0.04460303300624443,4,8968
global,combine,,31,11.513285994210698,0.4906333630686887,44,8968
global,global_in_41_trigger,,31,11.994756498685593,0.45718108831400533,41,8968
global,global_in_73_trigger,,31,11.947669066668194,0.4683318465655665,42,8968
global,global_in_51_trigger,,31,11.962531122961392,0.4683318465655665,42,8968
global,global_in_74_trigger,,31,11.3684770029427,0.5017841213202497,45,8968
41,41_trigger,,32,10.92193307374653,1.9067796610169492,171,8968
global,combine,,32,11.51604504376836,0.4906333630686887,44,8968
