model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.236052187290923,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.23605225194681,0.45718108831400533,41,8968
global,global_in_73_trigger,,11,12.236052175380628,0.45718108831400533,41,8968
global,global_in_51_trigger,,11,12.236051921010763,0.45718108831400533,41,8968
global,global_in_74_trigger,,11,12.236052103068124,0.45718108831400533,41,8968
41,41_trigger,,12,0.0,100.0,8968,8968
global,combine,,12,12.016274698922722,0.45718108831400533,41,8968
global,global_in_41_trigger,,12,12.016274491343298,0.45718108831400533,41,8968
global,global_in_73_trigger,,12,12.016274665744042,0.45718108831400533,41,8968
global,global_in_51_trigger,,12,12.01627453132786,0.45718108831400533,41,8968
global,global_in_74_trigger,,12,12.016274479433003,0.45718108831400533,41,8968
global,combine,,13,11.954350925789253,0.423728813559322,38,8968
global,global_in_41_trigger,,13,11.954350967475285,0.423728813559322,38,8968
global,global_in_73_trigger,,13,11.9543512422628,0.423728813559322,38,8968
global,global_in_51_trigger,,13,11.954351125712058,0.423728813559322,38,8968
global,global_in_74_trigger,,13,11.954350916431165,0.423728813559322,38,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,11.8596282834777,0.3791257805530776,34,8968
global,global_in_41_trigger,,14,11.859628242642405,0.3791257805530776,34,8968
global,global_in_73_trigger,,14,11.859628211165198,0.3791257805530776,34,8968
global,global_in_51_trigger,,14,11.859628081853426,0.3791257805530776,34,8968
global,global_in_74_trigger,,14,11.859628193299756,0.3791257805530776,34,8968
global,combine,,15,11.718138973804376,0.3902765388046387,35,8968
global,global_in_41_trigger,,15,11.718138843641869,0.3902765388046387,35,8968
global,global_in_73_trigger,,15,11.718138734747745,0.3902765388046387,35,8968
global,global_in_51_trigger,,15,11.718138906596284,0.3902765388046387,35,8968
global,global_in_74_trigger,,15,11.718138852999957,0.3902765388046387,35,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,11.537958388451909,0.40142729705619984,36,8968
global,global_in_41_trigger,,16,11.537958500748974,0.40142729705619984,36,8968
global,global_in_73_trigger,,16,11.537958228513665,0.40142729705619984,36,8968
global,global_in_51_trigger,,16,11.537958424182793,0.40142729705619984,36,8968
global,global_in_74_trigger,,16,11.537958549240889,0.40142729705619984,36,8968
74,74_trigger,,17,10.999538778939701,1.1708296164139163,105,8968
global,combine,,17,11.459921155414019,0.412578055307761,37,8968
global,global_in_41_trigger,,17,11.459921163070637,0.412578055307761,37,8968
global,global_in_73_trigger,,17,11.459921145205195,0.412578055307761,37,8968
global,global_in_51_trigger,,17,11.459921038012542,0.412578055307761,37,8968
global,global_in_74_trigger,,17,11.459920936775037,0.412578055307761,37,8968
74,74_trigger,,18,0.0,100.0,8968,8968
41,41_trigger,,18,10.632683670595222,1.7618198037466548,158,8968
global,combine,,18,11.252356793814531,0.4348795718108831,39,8968
global,global_in_41_trigger,,18,11.2523568797388,0.4348795718108831,39,8968
global,global_in_73_trigger,,18,11.25235718089911,0.4348795718108831,39,8968
global,global_in_51_trigger,,18,11.252357034572633,0.4348795718108831,39,8968
global,global_in_74_trigger,,18,11.252357001393953,0.4348795718108831,39,8968
global,combine,,19,11.267381563450373,0.412578055307761,37,8968
global,global_in_41_trigger,,19,11.267381373736393,0.412578055307761,37,8968
global,global_in_73_trigger,,19,11.267381333751832,0.412578055307761,37,8968
global,global_in_51_trigger,,19,11.267381604285669,0.412578055307761,37,8968
global,global_in_74_trigger,,19,11.267381662986407,0.412578055307761,37,8968
73,73_trigger,,20,12.995326539004731,0.03345227475468331,3,8968
global,combine,,20,11.283914589009893,0.3679750223015165,33,8968
global,global_in_41_trigger,,20,11.283914465653268,0.3679750223015165,33,8968
global,global_in_73_trigger,,20,11.283914634098867,0.3679750223015165,33,8968
global,global_in_51_trigger,,20,11.283914588159158,0.3679750223015165,33,8968
global,global_in_74_trigger,,20,11.28391462814372,0.3679750223015165,33,8968
74,74_trigger,,21,9.210271683045523,1.9067796610169492,171,8968
global,combine,,21,11.24112647139101,0.40142729705619984,36,8968
