local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879691547714174,98.63481228668942,289,293
76,11,11,1,0.0034893970005214214,97.43589743589743,76,78
63,11,11,1,0.001794686308130622,96.8503937007874,861,889
11,11,11,1,0.0018124469788745046,97.36434108527132,628,645
75,11,11,1,0.0013299996498972178,97.52186588921283,669,686
43,11,11,1,0.0011628951178863645,97.30392156862744,397,408
46,11,11,1,0.0016356749692931771,96.90140845070422,688,710
37,11,11,1,0.0015181973576545715,96.97674418604652,834,860
21,11,11,1,0.0013455137377604842,96.7948717948718,302,312
35,11,11,1,0.0006804157164879143,98.79759519038076,493,499
41,111,12,1,0.021197428926825523,65.34653465346535,396,606
41,112,12,2,0.013351346366107464,65.67656765676567,398,606
41,113,12,3,0.0057143052108585835,89.60396039603961,543,606
41,114,12,4,0.003930491395294666,92.4092409240924,560,606
41,115,12,5,0.0035768961533904076,93.06930693069307,564,606
41,116,12,6,0.0032633193768560886,94.71947194719472,574,606
41,117,12,7,0.0028766768518835306,95.21452145214522,577,606
41,118,12,8,0.00230691721662879,96.20462046204621,583,606
41,119,12,9,0.0024725261610001326,95.37953795379538,578,606
41,120,12,10,0.0021776931826025248,95.7095709570957,580,606
11,12,12,1,0.00153279397636652,97.36434108527132,628,645
61,12,12,1,0.0015380054246634245,97.13876967095851,679,699
64,12,12,1,0.0016659944085404277,96.8019680196802,787,813
28,12,12,1,0.0015797634841874242,97.60479041916167,489,501
67,12,12,1,0.0014807205880060792,97.39478957915831,972,998
22,12,12,1,0.001646562246605754,96.91252144082333,565,583
82,12,12,1,0.0015242195222526789,97.19495091164096,693,713
60,12,12,1,0.0018100268207490444,97.0414201183432,328,338
42,12,12,1,0.0010551430750638247,97.88135593220339,231,236
85,13,13,1,0.0008441242971457541,98.14385150812065,423,431
56,13,13,1,0.0012775663053616881,97.8409090909091,861,880
57,13,13,1,0.0019912992138415575,95.6268221574344,328,343
63,13,13,1,0.001972235506400466,96.40044994375702,857,889
77,13,13,1,0.0014442808460444212,97.28353140916808,573,589
18,13,13,1,0.0023134429939091206,96.29629629629629,442,459
43,13,13,1,0.001521883881650865,95.83333333333334,391,408
91,13,13,1,0.0006548807141371071,98.4375,252,256
42,13,13,1,0.001072981976903975,97.88135593220339,231,236
52,13,13,1,0.0012065524933859706,97.23320158102767,246,253
73,131,14,1,0.026260999962687492,56.683587140439926,335,591
73,132,14,2,0.017350951209664345,52.45346869712352,310,591
73,133,14,3,0.007503214757889509,82.91032148900169,490,591
73,134,14,4,0.004669348243623972,90.18612521150592,533,591
73,135,14,5,0.00340342428535223,93.4010152284264,552,591
73,136,14,6,0.0030641481280326843,93.4010152284264,552,591
73,137,14,7,0.0026016628835350275,95.76988155668359,566,591
73,138,14,8,0.002213796367868781,96.1082910321489,568,591
73,139,14,9,0.0018504486652091146,96.78510998307954,572,591
73,140,14,10,0.0017159648705273867,96.78510998307954,572,591
28,14,14,1,0.0014146437169983983,97.2055888223553,487,501
37,14,14,1,0.0014144334709271789,97.44186046511628,838,860
96,14,14,1,0.0014968245523050427,97.91666666666666,658,672
99,14,14,1,0.0008547155885025859,98.6737400530504,372,377
80,14,14,1,0.0009099459857679904,98.60788863109049,425,431
13,14,14,1,0.0009462966700084507,98.09264305177112,720,734
98,14,14,1,0.001567245228216052,97.55501222493888,798,818
78,14,14,1,0.0010260951239615679,97.35973597359737,295,303
46,14,14,1,0.0023919688537716866,96.47887323943662,685,710
45,15,15,1,0.0015176190063357353,97.45222929936305,612,628
62,15,15,1,0.0008237828151322901,98.58156028368793,417,423
50,15,15,1,0.002068180125206709,95.9915611814346,455,474
67,15,15,1,0.0018107551150023937,97.1943887775551,970,998
14,15,15,1,0.0015663873637095094,97.07446808510637,365,376
36,15,15,1,0.0012236692709848285,97.91044776119404,984,1005
24,15,15,1,0.0018727114656940103,96.04221635883906,364,379
7,15,15,1,0.0011397384805604815,97.84688995215312,409,418
4,15,15,1,0.0018579036695882678,96.96048632218846,638,658
80,15,15,1,0.0010431786067783833,98.37587006960557,424,431
51,151,16,1,0.021786799654364586,61.443661971830984,349,568
51,152,16,2,0.009331010282039642,81.33802816901408,462,568
51,153,16,3,0.004059964325278997,93.13380281690141,529,568
51,154,16,4,0.0036240245681256056,93.48591549295774,531,568
51,155,16,5,0.0029783023055642843,94.19014084507043,535,568
51,156,16,6,0.0024625391233712435,95.24647887323944,541,568
51,157,16,7,0.0018384137656539679,96.83098591549296,550,568
51,158,16,8,0.0020660103764384985,95.59859154929578,543,568
51,159,16,9,0.0018678940832614899,96.30281690140845,547,568
51,160,16,10,0.0017219793517142534,96.65492957746478,549,568
39,16,16,1,0.0012184656225144863,98.0544747081712,252,257
26,16,16,1,0.0018082755850628018,97.65342960288808,541,554
29,16,16,1,0.0014075188664719462,97.50499001996008,977,1002
4,16,16,1,0.0013476626481860876,97.56838905775076,642,658
42,16,16,1,0.001040889066644013,97.88135593220339,231,236
69,16,16,1,0.0017104116268455982,96.875,248,256
95,16,16,1,0.0005893578054383397,98.83720930232558,595,602
80,16,16,1,0.0012697891797870398,98.83990719257541,426,431
8,16,16,1,0.001967324409633875,96.6824644549763,612,633
25,17,17,1,0.0017370979767292738,95.82689335394127,620,647
68,17,17,1,0.0010053683072328568,98.17813765182186,485,494
70,17,17,1,0.0022690240293741226,95.02762430939227,688,724
61,17,17,1,0.0014684918569400907,97.85407725321889,684,699
64,17,17,1,0.0018933924147859216,96.06396063960639,781,813
31,17,17,1,0.0010660324478521943,97.60479041916167,815,835
10,17,17,1,0.0014597228728234768,97.30941704035875,868,892
23,17,17,1,0.0010272518265992403,98.63481228668942,289,293
7,17,17,1,0.0013270019553601742,97.84688995215312,409,418
74,17,17,1,0.0015067296335473657,97.30700179533214,542,557
74,171,18,1,0.027580343186855316,51.70556552962297,288,557
74,172,18,2,0.013277116231620312,64.27289048473968,358,557
74,173,18,3,0.007285116706043482,86.17594254937163,480,557
74,174,18,4,0.005508080590516329,89.04847396768402,496,557
74,175,18,5,0.004744297359138727,91.38240574506284,509,557
74,176,18,6,0.0038573413621634245,93.35727109515261,520,557
74,177,18,7,0.0033604062628000975,93.53680430879713,521,557
74,178,18,8,0.002830164972692728,96.05026929982047,535,557
74,179,18,9,0.0025956695899367332,96.05026929982047,535,557
74,180,18,10,0.0030009665060788393,94.61400359066428,527,557
46,18,18,1,0.002347102854400873,97.04225352112677,689,710
65,18,18,1,0.0010410967515781522,98.11320754716981,364,371
57,18,18,1,0.0034732280764728785,95.91836734693877,329,343
83,18,18,1,0.0016652933554723859,97.22863741339492,421,433
9,18,18,1,0.000979408621788025,97.24770642201835,424,436
64,18,18,1,0.0017404587706550956,97.04797047970479,789,813
58,18,18,1,0.002067656023427844,97.10144927536231,268,276
41,18,18,1,0.0014832433080300689,97.52475247524752,591,606
12,18,18,1,0.0017070493195205927,97.32758620689656,1129,1160
83,19,19,1,0.0013101371005177498,98.61431870669746,427,433
96,19,19,1,0.0016182372346520424,97.61904761904762,656,672
90,19,19,1,0.002293217461556196,96.19326500732065,657,683
28,19,19,1,0.0013457529712468386,97.60479041916167,489,501
65,19,19,1,0.0009808967588469386,98.38274932614556,365,371
33,19,19,1,0.0017048245063051581,96.78972712680579,603,623
75,19,19,1,0.0021336420904845,95.48104956268222,655,686
13,19,19,1,0.0014949995093047619,97.13896457765668,713,734
32,19,19,1,0.0017556027742102742,96.62231320368475,944,977
80,19,19,1,0.0012974597048014402,98.14385150812065,423,431
