model,trigger_name,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,21,11.093134553995563,0.13065326633165827,13,9950
global,global_in_index_0_trigger,,21,11.093134557062656,0.13065326633165827,13,9950
global,combine,,22,11.046070133381752,0.1507537688442211,15,9950
global,global_in_index_0_trigger,,22,11.046070308206069,0.1507537688442211,15,9950
global,combine,,23,10.988466858216865,0.1507537688442211,15,9950
global,global_in_index_0_trigger,,23,10.988466870485238,0.1507537688442211,15,9950
global,combine,,24,10.997221262562814,0.16080402010050251,16,9950
global,global_in_index_0_trigger,,24,10.99722145578969,0.16080402010050251,16,9950
global,combine,,25,10.983743556037021,0.1708542713567839,17,9950
global,global_in_index_0_trigger,,25,10.983743605110513,0.1708542713567839,17,9950
global,combine,,26,10.95629259885855,0.19095477386934676,19,9950
global,global_in_index_0_trigger,,26,10.956292911702064,0.19095477386934676,19,9950
17,17_trigger,,27,nan,0.0,0,9950
global,combine,,27,0.32834112886208383,89.66834170854271,8922,9950
global,global_in_index_0_trigger,,27,0.3283410740377915,89.66834170854271,8922,9950
global,combine,,28,0.5040389512411914,84.42211055276381,8400,9950
global,global_in_index_0_trigger,,28,0.5040389569919912,84.42211055276381,8400,9950
global,combine,,29,0.7122668792494578,79.2964824120603,7890,9950
global,global_in_index_0_trigger,,29,0.7122669347446767,79.2964824120603,7890,9950
global,combine,,30,0.9326435290389324,73.96984924623115,7360,9950
global,global_in_index_0_trigger,,30,0.9326436187514109,73.96984924623115,7360,9950
global,combine,,31,1.1618123772395914,68.96482412060301,6862,9950
global,global_in_index_0_trigger,,31,1.161812390274738,68.96482412060301,6862,9950
17,17_trigger,,32,3.9800618709391684,10.321608040201005,1027,9950
global,combine,,32,1.3877717406306433,64.18090452261308,6386,9950
global,global_in_index_0_trigger,,32,1.387771806573149,64.18090452261308,6386,9950
global,combine,,33,1.5922921496060625,59.84924623115578,5955,9950
global,global_in_index_0_trigger,,33,1.5922920020021984,59.84924623115578,5955,9950
global,combine,,34,1.7596639002507655,56.452261306532655,5617,9950
global,global_in_index_0_trigger,,34,1.7596639140526853,56.452261306532655,5617,9950
global,combine,,35,1.900857041708788,54.05025125628141,5378,9950
global,global_in_index_0_trigger,,35,1.9008571413893196,54.05025125628141,5378,9950
global,combine,,36,2.0494648861525646,51.29648241206031,5104,9950
global,global_in_index_0_trigger,,36,2.049464842829872,51.29648241206031,5104,9950
global,combine,,37,2.180826765664259,48.69346733668342,4845,9950
global,global_in_index_0_trigger,,37,2.1808268975492697,48.69346733668342,4845,9950
global,combine,,38,2.283711357691779,46.94472361809045,4671,9950
global,global_in_index_0_trigger,,38,2.283711294049594,46.94472361809045,4671,9950
global,combine,,39,2.43510536385541,44.33165829145729,4411,9950
global,global_in_index_0_trigger,,39,2.4351056023219124,44.33165829145729,4411,9950
global,combine,,40,2.5529064542684123,42.231155778894475,4202,9950
global,global_in_index_0_trigger,,40,2.552906520210918,42.231155778894475,4202,9950
global,combine,,41,2.664179293378514,40.16080402010051,3996,9950
global,global_in_index_0_trigger,,41,2.664179352420059,40.16080402010051,3996,9950
global,combine,,42,2.7367122312766226,38.733668341708544,3854,9950
global,global_in_index_0_trigger,,42,2.73671219025425,38.733668341708544,3854,9950
global,combine,,43,2.8123254869930707,37.4572864321608,3727,9950
global,global_in_index_0_trigger,,43,2.8123254739579244,37.4572864321608,3727,9950
global,combine,,44,2.9092146838010855,35.75879396984924,3558,9950
global,global_in_index_0_trigger,,44,2.9092148034177234,35.75879396984924,3558,9950
global,combine,,45,2.967295775293705,34.68341708542714,3451,9950
global,global_in_index_0_trigger,,45,2.9672959370828753,34.68341708542714,3451,9950
global,combine,,46,3.011205212770395,34.01005025125628,3384,9950
global,global_in_index_0_trigger,,46,3.0112050946873037,34.01005025125628,3384,9950
global,combine,,47,3.0969880538250334,32.5929648241206,3243,9950
global,global_in_index_0_trigger,,47,3.096987923473569,32.5929648241206,3243,9950
global,combine,,48,3.1629580159402972,31.4070351758794,3125,9950
global,global_in_index_0_trigger,,48,3.162958259774213,31.4070351758794,3125,9950
global,combine,,49,3.1965170134731276,30.884422110552762,3073,9950
global,global_in_index_0_trigger,,49,3.1965170096392606,30.884422110552762,3073,9950
global,combine,,50,3.270454595364518,29.678391959798994,2953,9950
global,global_in_index_0_trigger,,50,3.2704546252686773,29.678391959798994,2953,9950
global,combine,,51,3.283831757971989,29.467336683417084,2932,9950
global,global_in_index_0_trigger,,51,3.2838318055119347,29.467336683417084,2932,9950
global,combine,,52,3.3535429389991953,28.36180904522613,2822,9950
global,global_in_index_0_trigger,,52,3.3535429343985554,28.36180904522613,2822,9950
global,combine,,53,3.385248795705824,27.758793969849243,2762,9950
global,global_in_index_0_trigger,,53,3.385249078645179,27.758793969849243,2762,9950
global,combine,,54,3.4538712245615284,26.57286432160804,2644,9950
global,global_in_index_0_trigger,,54,3.4538711386829166,26.57286432160804,2644,9950
global,combine,,55,3.486844971623253,26.0,2587,9950
global,global_in_index_0_trigger,,55,3.4868449846583993,26.0,2587,9950
global,combine,,56,3.5269350429515742,25.376884422110553,2525,9950
global,global_in_index_0_trigger,,56,3.526935136497919,25.376884422110553,2525,9950
global,combine,,57,3.5857505085240655,24.55276381909548,2443,9950
global,global_in_index_0_trigger,,57,3.585750370504868,24.55276381909548,2443,9950
global,combine,,58,3.6357808965175,23.809045226130653,2369,9950
global,global_in_index_0_trigger,,58,3.635780766166035,23.809045226130653,2369,9950
global,combine,,59,3.6784315797431986,23.00502512562814,2289,9950
global,global_in_index_0_trigger,,59,3.678431493864587,23.00502512562814,2289,9950
global,combine,,60,3.741093975431356,21.86934673366834,2176,9950
global,global_in_index_0_trigger,,60,3.741093970830716,21.86934673366834,2176,9950
global,combine,,61,3.775987597134844,21.42713567839196,2132,9950
global,global_in_index_0_trigger,,61,3.7759875250581523,21.42713567839196,2132,9950
global,combine,,62,3.8104780294907155,20.92462311557789,2082,9950
global,global_in_index_0_trigger,,62,3.810478098500314,20.92462311557789,2082,9950
17,17_trigger,,63,6.323133897637602,0.36180904522613067,36,9950
global,combine,,63,3.8755221879661983,19.979899497487438,1988,9950
global,global_in_index_0_trigger,,63,3.875522245474197,19.979899497487438,1988,9950
