model,epoch,average_loss,accuracy,correct_data,total_data
global,21,11.093134553995563,0.13065326633165827,13,9950
global,22,11.046070133381752,0.1507537688442211,15,9950
global,23,10.988466858216865,0.1507537688442211,15,9950
global,24,10.997221262562814,0.16080402010050251,16,9950
global,25,10.983743556037021,0.1708542713567839,17,9950
global,26,10.95629259885855,0.19095477386934676,19,9950
17,27,0.3306607252149726,89.58793969849246,8914,9950
17,27,nan,0.0,0,9950
global,27,0.32834112886208383,89.66834170854271,8922,9950
global,28,0.5040389512411914,84.42211055276381,8400,9950
global,29,0.7122668792494578,79.2964824120603,7890,9950
global,30,0.9326435290389324,73.96984924623115,7360,9950
global,31,1.1618123772395914,68.96482412060301,6862,9950
global,32,1.3877717406306433,64.18090452261308,6386,9950
global,33,1.5922921496060625,59.84924623115578,5955,9950
global,34,1.7596639002507655,56.452261306532655,5617,9950
global,35,1.900857041708788,54.05025125628141,5378,9950
global,36,2.0494648861525646,51.29648241206031,5104,9950
global,37,2.180826765664259,48.69346733668342,4845,9950
global,38,2.283711357691779,46.94472361809045,4671,9950
global,39,2.43510536385541,44.33165829145729,4411,9950
global,40,2.5529064542684123,42.231155778894475,4202,9950
global,41,2.664179293378514,40.16080402010051,3996,9950
global,42,2.7367122312766226,38.733668341708544,3854,9950
global,43,2.8123254869930707,37.4572864321608,3727,9950
global,44,2.9092146838010855,35.75879396984924,3558,9950
global,45,2.967295775293705,34.68341708542714,3451,9950
global,46,3.011205212770395,34.01005025125628,3384,9950
global,47,3.0969880538250334,32.5929648241206,3243,9950
global,48,3.1629580159402972,31.4070351758794,3125,9950
global,49,3.1965170134731276,30.884422110552762,3073,9950
global,50,3.270454595364518,29.678391959798994,2953,9950
global,51,3.283831757971989,29.467336683417084,2932,9950
global,52,3.3535429389991953,28.36180904522613,2822,9950
global,53,3.385248795705824,27.758793969849243,2762,9950
global,54,3.4538712245615284,26.57286432160804,2644,9950
global,55,3.486844971623253,26.0,2587,9950
global,56,3.5269350429515742,25.376884422110553,2525,9950
global,57,3.5857505085240655,24.55276381909548,2443,9950
global,58,3.6357808965175,23.809045226130653,2369,9950
global,59,3.6784315797431986,23.00502512562814,2289,9950
global,60,3.741093975431356,21.86934673366834,2176,9950
global,61,3.775987597134844,21.42713567839196,2132,9950
global,62,3.8104780294907155,20.92462311557789,2082,9950
global,63,3.8755221879661983,19.979899497487438,1988,9950
